Overall Qual,Overall Cond,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Misc Val,Year Built Year Remod/Add,Mas Vnr Area,Total Bsmt SF,Bsmt Full Bath,Bsmt Half Bath,Garage Yr Blt,Garage Cars,Garage Area
5,5,1430,0,1430,2,0,3,1,7,0,0,4018020,0.0,1430.0,0.0,0.0,2004.0,2.0,624.0
5,5,624,720,1344,1,0,4,1,7,0,0,3736200,0.0,624.0,0.0,0.0,1916.0,3.0,513.0
5,6,1121,0,1121,1,0,3,1,5,0,0,3853369,0.0,1121.0,1.0,0.0,1963.0,2.0,480.0
6,5,1285,0,1285,1,1,3,1,7,1,0,3908529,148.0,660.0,0.0,0.0,1977.0,2.0,528.0
7,5,764,783,1547,2,1,3,1,7,0,0,4036081,0.0,756.0,0.0,0.0,2009.0,2.0,614.0
5,5,894,0,894,1,0,3,1,5,1,0,3873024,0.0,894.0,0.0,0.0,1968.0,2.0,450.0
8,5,1659,0,1659,2,0,2,1,5,1,0,4000000,0.0,1501.0,1.0,0.0,2000.0,2.0,499.0
8,5,1209,1044,2253,2,1,3,1,8,1,0,4022030,0.0,1209.0,0.0,0.0,2005.0,2.0,575.0
6,7,1187,0,1187,2,0,3,1,6,0,500,3997944,0.0,1168.0,1.0,0.0,1992.0,2.0,420.0
5,5,1056,0,1056,1,0,3,1,5,0,0,3822025,0.0,1056.0,1.0,0.0,1955.0,2.0,572.0
6,6,1453,0,1453,2,0,3,1,6,1,0,3845521,3.0,1453.0,1.0,0.0,1961.0,2.0,530.0
5,8,894,0,894,1,0,3,1,5,1,0,3947685,0.0,894.0,1.0,0.0,1973.0,1.0,336.0
5,6,1265,673,1938,2,0,4,1,7,1,0,3864315,0.0,942.0,0.0,0.0,1937.0,1.0,240.0
5,6,1034,957,1991,2,0,4,2,9,0,0,3801370,0.0,957.0,0.0,0.0,0.0,0.0,0.0
5,7,672,252,924,1,0,3,1,6,1,2000,3909694,0.0,672.0,0.0,0.0,2003.0,2.0,576.0
8,5,2524,0,2524,2,1,4,1,9,1,0,3924361,0.0,2524.0,1.0,0.0,1981.0,2.0,542.0
8,7,792,725,1517,1,0,3,1,7,2,0,3761550,0.0,792.0,0.0,0.0,1931.0,2.0,400.0
8,5,1494,0,1494,1,1,2,1,6,1,0,3982020,0.0,1494.0,1.0,0.0,1995.0,2.0,481.0
6,6,948,0,948,1,0,2,1,5,0,0,3810304,0.0,948.0,0.0,0.0,1952.0,2.0,410.0
8,5,1718,0,1718,2,0,3,1,7,1,0,4030056,336.0,1705.0,1.0,0.0,2007.0,3.0,826.0
6,6,1142,0,1142,1,0,2,1,5,1,0,3833764,82.0,160.0,0.0,0.0,1958.0,1.0,384.0
5,6,925,550,1475,2,0,4,1,6,1,0,3908529,0.0,757.0,0.0,0.0,1977.0,1.0,336.0
6,6,1844,0,1844,2,0,3,1,7,1,0,3908529,480.0,1844.0,0.0,0.0,1977.0,2.0,546.0
7,6,1242,0,1242,1,1,3,1,6,1,0,3892729,320.0,1242.0,0.0,0.0,1973.0,2.0,528.0
5,7,990,0,990,1,0,3,1,5,0,0,3976036,0.0,990.0,1.0,0.0,1995.0,1.0,384.0
5,6,1256,0,1256,1,1,3,1,6,0,0,3861225,0.0,1256.0,1.0,0.0,1965.0,1.0,276.0
10,5,2076,0,2076,2,1,2,1,7,1,0,4024036,0.0,2076.0,1.0,0.0,2006.0,3.0,850.0
5,6,1110,0,1110,1,0,1,1,4,1,0,3912484,104.0,1097.0,1.0,0.0,1978.0,2.0,602.0
5,5,1050,745,1795,2,0,4,1,7,0,0,3818116,335.0,1050.0,0.0,0.0,1954.0,1.0,352.0
5,5,1040,0,1040,1,0,3,1,5,0,0,3861225,0.0,1040.0,1.0,0.0,1965.0,1.0,384.0
8,6,983,890,1873,1,1,4,1,9,2,0,3773250,40.0,608.0,0.0,0.0,1935.0,2.0,786.0
5,5,984,620,1604,2,0,3,1,6,0,0,3804360,0.0,984.0,0.0,0.0,1977.0,2.0,660.0
7,6,851,651,1502,1,1,3,1,6,1,0,3862000,0.0,776.0,0.0,0.0,1931.0,1.0,270.0
5,5,1063,0,1063,1,0,3,1,6,0,0,3818116,110.0,1056.0,1.0,0.0,1954.0,1.0,280.0
7,5,764,862,1626,2,1,2,1,6,0,0,4014012,106.0,764.0,0.0,0.0,2003.0,2.0,474.0
6,5,768,756,1524,2,1,2,1,4,0,0,4000000,513.0,756.0,0.0,0.0,2000.0,2.0,440.0
4,3,1328,653,1981,2,0,4,1,7,2,0,3759600,0.0,1122.0,1.0,0.0,1981.0,2.0,576.0
7,5,1392,1392,2784,3,1,5,1,12,2,2000,3912484,184.0,1392.0,1.0,0.0,1978.0,2.0,564.0
4,7,546,546,1092,1,1,3,1,5,0,0,3880900,0.0,546.0,0.0,0.0,0.0,0.0,0.0
6,6,1575,0,1575,1,1,2,1,5,1,0,3806401,522.0,216.0,0.0,0.0,1951.0,2.0,400.0
6,7,663,689,1352,1,1,4,1,7,0,0,3876961,143.0,663.0,0.0,0.0,1969.0,1.0,299.0
7,5,600,600,1200,2,1,2,1,4,0,0,4018020,0.0,600.0,1.0,0.0,2004.0,2.0,480.0
5,6,936,0,936,1,0,2,1,5,0,0,3859150,0.0,936.0,0.0,0.0,1954.0,1.0,240.0
6,7,1040,0,1040,1,0,3,1,6,0,0,3814209,0.0,1040.0,0.0,1.0,1953.0,1.0,293.0
6,5,916,720,1636,2,1,3,1,7,1,0,3984016,0.0,916.0,0.0,0.0,1996.0,2.0,386.0
8,7,1164,1106,2270,2,1,4,1,9,1,0,4011993,348.0,1152.0,0.0,0.0,1999.0,3.0,671.0
8,5,1184,1426,2610,2,1,4,1,11,1,0,4028049,0.0,1184.0,0.0,0.0,2007.0,2.0,550.0
7,7,1483,0,1483,1,1,1,1,4,2,0,3955977,0.0,1420.0,1.0,0.0,1977.0,2.0,690.0
5,5,960,780,1740,1,0,2,1,6,1,0,3744000,0.0,936.0,0.0,0.0,1920.0,1.0,225.0
5,5,1382,0,1382,1,0,3,1,6,0,0,3822025,0.0,1382.0,0.0,1.0,1955.0,1.0,350.0
5,5,1120,0,1120,1,0,3,1,6,0,0,4028049,0.0,1120.0,0.0,0.0,0.0,0.0,0.0
7,8,567,531,1098,1,0,2,1,5,1,0,3850350,0.0,531.0,1.0,0.0,1930.0,1.0,216.0
7,5,976,732,1708,2,0,3,1,7,0,0,4016016,117.0,976.0,0.0,0.0,2004.0,2.0,380.0
9,5,1802,0,1802,2,1,3,1,7,1,0,4024036,510.0,1802.0,0.0,0.0,2006.0,3.0,843.0
7,5,1506,0,1506,2,0,2,1,6,1,0,4020025,145.0,1362.0,0.0,0.0,2005.0,2.0,440.0
7,5,1508,0,1508,1,0,1,1,5,2,0,4038090,96.0,1508.0,1.0,0.0,2009.0,2.0,572.0
7,5,2032,0,2032,3,0,3,1,7,0,0,3986012,668.0,1840.0,1.0,0.0,1996.0,3.0,786.0
6,6,1194,0,1194,1,0,3,1,6,1,0,3837681,0.0,655.0,0.0,1.0,1954.0,2.0,539.0
7,5,970,739,1709,2,0,3,1,7,0,0,4016016,50.0,970.0,0.0,0.0,2004.0,2.0,380.0
7,5,1616,0,1616,2,0,3,1,7,0,0,4020025,228.0,1616.0,0.0,0.0,2005.0,3.0,834.0
6,6,768,0,768,1,0,1,1,4,0,0,3763500,0.0,768.0,0.0,0.0,1930.0,2.0,440.0
5,5,872,0,872,1,0,2,1,5,1,0,3751800,65.0,872.0,0.0,0.0,1924.0,1.0,322.0
4,6,520,0,520,1,0,1,1,4,0,0,3757650,0.0,520.0,0.0,0.0,1920.0,1.0,240.0
5,5,1105,1169,2274,2,0,5,2,12,0,0,3841600,361.0,1105.0,0.0,0.0,1960.0,2.0,480.0
5,7,936,665,1601,2,0,3,1,6,0,0,3855775,0.0,936.0,0.0,0.0,0.0,0.0,0.0
5,7,616,616,1232,1,0,3,1,6,0,0,3724500,0.0,616.0,0.0,0.0,1920.0,2.0,480.0
9,5,2234,0,2234,2,0,1,1,9,1,0,4034072,748.0,2216.0,1.0,0.0,2009.0,3.0,1166.0
5,8,876,540,1416,1,1,4,1,7,1,0,3734250,0.0,876.0,0.0,0.0,1949.0,3.0,720.0
4,7,864,0,864,1,0,3,1,5,0,0,3953826,0.0,864.0,0.0,0.0,1986.0,2.0,576.0
6,5,1189,0,1189,2,0,2,1,4,0,0,3988009,197.0,1189.0,1.0,0.0,1997.0,2.0,392.0
9,5,1666,0,1666,2,0,2,1,6,1,0,4024036,572.0,1666.0,1.0,0.0,2006.0,2.0,575.0
7,5,1200,0,1200,2,0,2,1,5,0,0,4012009,0.0,1176.0,1.0,0.0,2003.0,2.0,555.0
5,7,928,0,928,1,0,2,1,4,0,0,3912000,0.0,928.0,0.0,0.0,1956.0,1.0,252.0
5,5,1336,0,1336,2,0,3,1,6,1,650,3876961,128.0,1288.0,0.0,1.0,1969.0,2.0,502.0
7,5,600,600,1200,2,1,2,1,4,0,0,4016016,120.0,600.0,0.0,0.0,2004.0,2.0,480.0
6,6,1427,0,1427,2,0,4,1,7,0,0,3876961,0.0,1427.0,0.0,1.0,1969.0,2.0,516.0
7,5,1212,780,1992,2,1,3,1,7,2,0,3995992,254.0,860.0,1.0,0.0,1996.0,2.0,608.0
7,5,754,786,1540,2,1,3,1,6,0,0,3976036,0.0,754.0,1.0,0.0,1994.0,2.0,495.0
5,5,1535,0,1535,2,0,4,2,8,0,0,3916441,0.0,0.0,0.0,0.0,1979.0,2.0,400.0
5,7,1152,0,1152,1,0,3,1,6,1,0,3857296,86.0,1152.0,1.0,0.0,1964.0,2.0,484.0
8,5,1151,0,1151,2,0,2,1,5,0,0,4026042,30.0,1141.0,1.0,0.0,2006.0,2.0,484.0
6,5,1138,0,1138,1,0,3,1,6,1,0,3841600,54.0,1138.0,0.0,1.0,1960.0,2.0,480.0
5,5,1074,0,1074,1,0,2,1,6,1,0,3825936,0.0,894.0,0.0,0.0,1966.0,2.0,396.0
9,5,1561,0,1561,2,0,2,1,6,1,0,4020025,246.0,1561.0,1.0,0.0,2005.0,2.0,556.0
8,5,1358,1368,2726,2,1,4,1,9,1,0,3980025,397.0,1342.0,0.0,0.0,1995.0,3.0,725.0
9,5,1884,0,1884,2,0,2,1,7,1,0,4016016,296.0,1884.0,1.0,0.0,2004.0,3.0,670.0
4,7,605,0,605,1,0,2,1,5,0,0,3843840,0.0,528.0,1.0,0.0,0.0,0.0,0.0
8,9,1671,0,1671,3,0,3,1,6,1,0,3965832,0.0,1426.0,1.0,0.0,1976.0,2.0,550.0
3,3,797,0,797,1,0,2,1,5,0,0,3705000,0.0,245.0,0.0,0.0,0.0,0.0,0.0
6,5,804,1157,1961,2,1,3,1,7,1,0,4006002,0.0,804.0,1.0,0.0,2001.0,2.0,560.0
5,6,1193,0,1193,2,0,2,1,6,0,0,3888784,144.0,1153.0,1.0,0.0,1972.0,2.0,501.0
7,5,673,709,1382,2,1,3,1,6,0,0,4000000,0.0,673.0,1.0,0.0,2000.0,2.0,490.0
6,7,1664,862,2526,2,0,5,1,10,1,0,3736200,0.0,714.0,0.0,0.0,1916.0,1.0,216.0
6,6,1390,0,1390,1,1,1,1,4,2,0,3829849,902.0,1705.0,1.0,0.0,1957.0,2.0,550.0
7,5,764,862,1626,2,1,2,1,6,0,0,4012009,106.0,764.0,0.0,0.0,2003.0,2.0,474.0
5,6,868,690,1558,1,1,3,1,7,1,0,3781050,0.0,690.0,0.0,0.0,1939.0,2.0,400.0
5,5,1422,0,1422,1,0,3,1,6,1,600,3876880,0.0,978.0,0.0,0.0,1960.0,1.0,286.0
5,7,1128,445,1573,2,0,3,1,8,1,0,3844560,0.0,1078.0,0.0,0.0,1930.0,2.0,360.0
6,6,1116,0,1116,1,1,3,1,5,0,0,3849444,261.0,1116.0,0.0,0.0,1962.0,2.0,440.0
2,2,660,0,660,1,0,2,1,5,0,0,3796650,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5,1707,0,1707,2,0,3,1,7,1,0,3952044,144.0,1140.0,0.0,0.0,1978.0,2.0,479.0
5,4,1466,0,1466,1,1,3,1,6,2,0,3837681,132.0,1466.0,0.0,0.0,1959.0,2.0,528.0
9,5,1638,0,1638,2,0,2,1,5,1,0,4000000,260.0,1614.0,1.0,0.0,2000.0,2.0,495.0
5,3,1721,0,1721,2,0,3,1,7,2,0,3841600,275.0,988.0,1.0,0.0,1960.0,2.0,626.0
6,5,928,836,1764,2,1,3,1,7,0,0,3988009,0.0,928.0,1.0,0.0,1997.0,2.0,470.0
5,6,996,0,996,1,0,3,1,6,1,0,3819860,0.0,996.0,1.0,0.0,0.0,0.0,0.0
5,5,1202,0,1202,1,0,3,1,6,0,0,3825936,0.0,1202.0,0.0,1.0,1956.0,1.0,304.0
5,5,988,0,988,1,0,3,1,5,0,0,3845521,57.0,988.0,1.0,0.0,1963.0,2.0,572.0
5,6,1028,0,1028,1,0,2,1,5,1,0,3757650,0.0,1008.0,0.0,0.0,1927.0,2.0,360.0
5,7,720,564,1284,1,1,2,1,5,0,0,3796650,0.0,720.0,0.0,0.0,1948.0,1.0,240.0
9,3,1599,1345,2944,2,2,3,1,9,1,0,3908529,1050.0,994.0,0.0,0.0,1977.0,3.0,864.0
8,5,707,707,1414,2,1,3,1,6,1,0,4016016,0.0,707.0,0.0,0.0,2004.0,2.0,403.0
7,7,959,650,1609,1,1,3,1,8,2,0,3844680,0.0,637.0,0.0,0.0,1963.0,3.0,579.0
6,5,813,712,1525,2,1,3,1,6,1,0,3990006,0.0,813.0,1.0,0.0,1997.0,2.0,400.0
5,5,1092,564,1656,1,1,3,1,7,1,0,3869089,0.0,624.0,0.0,0.0,1967.0,1.0,288.0
7,6,1055,0,1055,2,0,2,1,4,0,0,3908529,0.0,1055.0,0.0,0.0,1977.0,2.0,440.0
5,7,676,676,1352,2,0,4,1,7,0,0,3889634,0.0,676.0,0.0,1.0,1939.0,2.0,720.0
6,5,855,601,1456,2,1,3,1,6,1,0,3908529,0.0,855.0,0.0,0.0,1977.0,2.0,440.0
8,5,1719,0,1719,1,1,1,1,6,2,0,3972049,0.0,1719.0,2.0,0.0,1993.0,2.0,473.0
5,6,864,0,864,1,0,2,1,5,0,0,3753750,0.0,864.0,1.0,0.0,0.0,0.0,0.0
6,5,483,504,987,1,1,2,1,5,0,0,3892729,359.0,483.0,0.0,1.0,1973.0,1.0,264.0
5,8,780,240,1020,1,0,2,1,6,0,0,3742500,0.0,780.0,0.0,0.0,0.0,0.0,0.0
8,5,1554,0,1554,2,0,2,1,6,1,0,4024036,108.0,1554.0,0.0,0.0,2006.0,2.0,627.0
10,5,1528,1862,3390,3,1,5,1,10,1,0,4024036,662.0,1528.0,0.0,0.0,2006.0,3.0,758.0
6,8,780,780,1560,1,1,3,1,7,0,0,3841208,0.0,780.0,0.0,0.0,0.0,0.0,0.0
4,5,864,0,864,1,0,2,1,4,0,0,3806401,0.0,864.0,0.0,0.0,1951.0,2.0,400.0
6,5,1008,881,1889,2,1,3,1,9,1,0,4000000,0.0,982.0,0.0,0.0,2000.0,2.0,431.0
5,8,1040,0,1040,1,1,3,1,6,0,0,3943620,0.0,1040.0,1.0,0.0,1962.0,1.0,260.0
5,7,1172,0,1172,1,0,3,1,5,0,0,3904092,0.0,1172.0,1.0,0.0,1954.0,1.0,366.0
8,5,1418,0,1418,1,1,1,1,6,1,0,4040100,0.0,1642.0,1.0,0.0,2010.0,3.0,852.0
6,6,959,408,1367,1,0,3,1,6,1,0,3765450,0.0,884.0,0.0,0.0,1978.0,1.0,560.0
7,5,495,1427,1922,3,0,4,1,7,1,0,4012009,500.0,0.0,0.0,0.0,2003.0,2.0,672.0
6,6,1422,0,1422,2,0,3,1,7,1,0,3924361,210.0,1422.0,0.0,0.0,1981.0,2.0,576.0
7,5,985,857,1842,2,1,3,1,7,1,0,4000000,144.0,985.0,1.0,0.0,2000.0,2.0,486.0
4,5,888,1074,1962,1,1,4,1,9,1,0,3734250,0.0,888.0,0.0,0.0,1915.0,2.0,572.0
5,7,1120,0,1120,1,0,3,1,5,1,1200,3939864,165.0,864.0,0.0,1.0,1966.0,2.0,656.0
9,5,1992,876,2868,3,1,4,1,11,1,0,4022030,208.0,1992.0,0.0,0.0,2005.0,3.0,716.0
6,3,1478,0,1478,1,1,3,1,6,2,0,3829849,0.0,1478.0,1.0,0.0,1957.0,2.0,442.0
7,5,950,1045,1995,2,1,4,1,8,1,0,3982020,0.0,930.0,1.0,0.0,1995.0,2.0,610.0
5,7,912,0,912,1,0,2,1,5,0,480,3886630,0.0,912.0,0.0,1.0,1958.0,1.0,297.0
6,5,1326,0,1326,2,0,3,1,6,0,2000,4020025,0.0,1326.0,1.0,0.0,2005.0,2.0,388.0
8,5,1204,0,1204,2,0,2,1,5,0,0,3948169,0.0,1191.0,0.0,0.0,1987.0,2.0,461.0
6,6,798,813,1611,1,1,4,1,7,0,0,3857296,360.0,780.0,1.0,0.0,1964.0,2.0,442.0
4,5,960,0,960,1,0,3,1,6,0,0,3880900,160.0,960.0,1.0,0.0,1970.0,2.0,576.0
5,6,1236,0,1236,1,0,2,1,6,1,0,3906172,64.0,1070.0,0.0,1.0,1957.0,1.0,447.0
5,7,1416,0,1416,2,0,3,1,7,0,0,3849426,0.0,816.0,0.0,0.0,2007.0,2.0,576.0
7,5,946,927,1873,2,1,3,1,7,1,0,3952144,360.0,929.0,1.0,0.0,1988.0,2.0,619.0
5,1,1088,1040,2128,2,0,4,2,11,0,0,3747900,0.0,1040.0,0.0,0.0,0.0,0.0,0.0
7,5,764,862,1626,2,1,2,1,6,0,0,4014012,106.0,764.0,1.0,0.0,2003.0,2.0,474.0
5,7,816,0,816,1,0,2,1,5,0,0,3829849,0.0,816.0,1.0,0.0,1957.0,1.0,308.0
5,3,536,576,1112,1,1,3,1,4,0,0,3904576,0.0,536.0,0.0,0.0,1976.0,1.0,336.0
7,7,572,539,1111,1,0,2,1,5,1,0,3755700,0.0,572.0,0.0,0.0,1982.0,1.0,288.0
6,6,855,586,1441,2,1,3,1,7,1,0,3912484,0.0,855.0,0.0,0.0,1978.0,2.0,440.0
4,4,672,252,924,1,0,2,1,5,0,0,3784950,0.0,672.0,1.0,0.0,1941.0,1.0,280.0
5,5,1126,0,1126,1,0,2,1,5,0,0,3936256,0.0,1060.0,1.0,0.0,1984.0,2.0,506.0
5,6,992,0,992,1,0,3,1,6,0,0,3818116,0.0,381.0,0.0,0.0,1954.0,1.0,319.0
6,7,752,624,1376,1,0,3,1,7,0,0,3744000,0.0,768.0,0.0,0.0,1977.0,2.0,576.0
7,5,1218,0,1218,2,0,2,1,4,0,0,4038090,0.0,1218.0,0.0,0.0,2009.0,2.0,676.0
5,7,888,756,1644,1,1,3,1,7,2,0,3874290,224.0,728.0,0.0,0.0,1942.0,1.0,312.0
7,5,1601,0,1601,2,0,3,1,7,1,0,3912484,206.0,1271.0,0.0,0.0,1978.0,2.0,478.0
7,7,1313,1182,2495,2,0,5,1,10,1,0,3778110,0.0,1313.0,0.0,0.0,1950.0,2.0,342.0
6,5,807,702,1509,2,1,3,1,7,1,0,4010006,0.0,783.0,1.0,0.0,2002.0,2.0,393.0
5,5,1092,0,1092,1,0,3,1,6,1,0,3849444,116.0,1092.0,0.0,1.0,1962.0,1.0,288.0
7,5,1325,1093,2418,2,1,3,1,9,1,0,3974042,651.0,1311.0,1.0,0.0,1993.0,3.0,983.0
6,5,483,504,987,1,1,2,1,5,0,0,3884841,504.0,483.0,0.0,0.0,1971.0,1.0,264.0
4,5,1121,0,1121,2,0,2,1,5,0,0,4014012,0.0,1121.0,0.0,0.0,2003.0,2.0,440.0
6,7,1236,0,1236,1,0,2,1,6,0,0,3906172,0.0,912.0,1.0,0.0,1957.0,2.0,923.0
5,6,1074,0,1074,1,1,3,1,6,0,0,3900625,0.0,1056.0,1.0,0.0,1975.0,2.0,495.0
1,5,733,0,733,1,0,2,1,4,0,0,3810304,0.0,0.0,0.0,0.0,1952.0,2.0,487.0
7,5,884,884,1768,2,1,3,1,8,0,0,4012009,252.0,884.0,1.0,0.0,2003.0,2.0,543.0
7,5,1266,0,1266,2,0,3,1,6,1,0,4020025,0.0,1257.0,0.0,0.0,2005.0,2.0,453.0
8,5,2129,743,2872,2,1,4,1,9,1,0,3984000,337.0,1683.0,0.0,0.0,1992.0,2.0,541.0
8,5,1464,0,1464,2,0,3,1,6,0,0,4028049,84.0,1485.0,1.0,0.0,2007.0,3.0,754.0
7,6,1216,941,2157,2,1,4,1,8,2,0,3865156,309.0,924.0,0.0,0.0,1966.0,2.0,487.0
8,5,1264,1312,2576,2,1,4,1,10,1,0,4024036,466.0,1234.0,0.0,0.0,2006.0,3.0,666.0
9,5,1414,1384,2798,3,1,3,1,11,1,0,4022030,600.0,1398.0,1.0,0.0,2005.0,3.0,670.0
8,6,1743,0,1743,0,1,0,1,5,2,0,3904576,0.0,966.0,2.0,0.0,1976.0,2.0,529.0
6,5,1567,0,1567,2,0,2,1,5,2,0,3908529,0.0,1567.0,1.0,0.0,1977.0,2.0,714.0
7,5,1370,0,1370,2,0,3,1,6,1,0,3904576,189.0,1090.0,0.0,0.0,1976.0,2.0,479.0
5,5,1338,1296,2634,2,2,6,2,12,0,0,3876961,368.0,1248.0,1.0,1.0,1969.0,4.0,968.0
8,5,1590,0,1590,2,1,2,1,6,0,0,4022030,198.0,1570.0,1.0,0.0,2005.0,3.0,754.0
7,5,1450,0,1450,2,0,2,1,6,0,0,4034072,140.0,1450.0,0.0,0.0,2008.0,3.0,788.0
6,3,846,492,1338,2,0,3,1,7,0,0,3734250,0.0,832.0,0.0,0.0,1974.0,2.0,528.0
7,5,728,728,1456,2,1,3,1,8,1,0,4028049,0.0,728.0,0.0,0.0,2007.0,2.0,400.0
10,5,2392,0,2392,2,0,3,1,8,1,0,4012009,922.0,2392.0,0.0,0.0,2003.0,3.0,968.0
4,5,530,462,992,1,0,2,1,4,0,0,3880900,0.0,530.0,1.0,0.0,1970.0,1.0,297.0
10,5,1026,981,2007,2,1,3,1,10,1,0,4032064,160.0,1017.0,1.0,0.0,2008.0,3.0,812.0
7,5,1108,1277,2385,2,1,4,1,8,1,0,3992004,275.0,1066.0,0.0,0.0,1998.0,3.0,600.0
7,5,918,728,1646,2,0,4,1,7,2,0,3784950,0.0,918.0,0.0,0.0,1941.0,1.0,240.0
7,5,728,728,1456,2,1,3,1,7,0,0,4028049,16.0,728.0,0.0,0.0,2007.0,2.0,400.0
5,7,548,492,1040,1,0,2,1,5,0,0,3833280,0.0,528.0,0.0,0.0,1979.0,2.0,624.0
6,6,1370,1254,2624,2,1,4,1,10,1,0,3740100,0.0,1370.0,1.0,0.0,1918.0,3.0,864.0
5,5,1264,0,1264,1,0,2,1,7,1,0,3884805,0.0,1068.0,1.0,0.0,1965.0,2.0,528.0
7,5,1557,0,1557,2,0,2,1,7,1,0,4014012,18.0,1374.0,0.0,0.0,2003.0,2.0,420.0
6,7,1287,0,1287,1,1,2,1,5,2,0,3908529,0.0,957.0,1.0,0.0,1977.0,2.0,541.0
6,7,1004,0,1004,1,0,2,1,5,1,700,3880900,180.0,1004.0,1.0,0.0,1970.0,2.0,480.0
7,5,1162,0,1162,2,0,3,1,6,0,0,4028049,0.0,1162.0,0.0,0.0,2007.0,2.0,483.0
7,5,1436,0,1436,2,0,3,1,6,0,0,4034072,0.0,1436.0,0.0,0.0,2008.0,2.0,529.0
5,8,960,0,960,1,0,3,1,6,0,0,3931889,0.0,960.0,1.0,0.0,1963.0,1.0,300.0
5,6,1196,0,1196,1,0,3,1,6,0,0,3873024,0.0,1196.0,1.0,0.0,1968.0,1.0,336.0
8,5,1269,0,1269,2,0,2,1,6,1,0,4018020,16.0,1256.0,0.0,0.0,2004.0,2.0,430.0
5,8,1031,0,1031,1,0,2,1,5,0,0,3913760,0.0,1031.0,1.0,0.0,1952.0,1.0,230.0
4,8,448,272,720,1,0,1,1,5,0,0,3796200,0.0,448.0,0.0,0.0,1900.0,1.0,280.0
6,4,1505,0,1505,1,0,2,1,6,1,0,3814209,90.0,1505.0,1.0,0.0,1953.0,2.0,505.0
5,7,954,0,954,1,0,2,1,5,1,0,3779100,0.0,920.0,0.0,0.0,1938.0,1.0,240.0
6,5,750,750,1500,2,1,3,1,6,0,0,4022030,0.0,750.0,0.0,0.0,2005.0,2.0,564.0
5,6,1050,0,1050,1,0,3,1,6,0,0,3845521,0.0,1050.0,1.0,0.0,1961.0,1.0,368.0
8,5,2079,608,2687,2,1,4,1,9,0,0,3976036,0.0,2062.0,0.0,0.0,1994.0,2.0,618.0
6,7,1252,0,1252,1,0,1,1,4,1,0,3871000,0.0,1602.0,1.0,0.0,1960.0,2.0,564.0
7,5,774,656,1430,2,1,3,1,7,1,0,3998000,0.0,384.0,0.0,0.0,1999.0,2.0,400.0
5,5,1114,0,1114,2,0,3,1,6,0,0,4014012,0.0,1114.0,1.0,0.0,2004.0,2.0,576.0
6,5,1224,0,1224,2,0,2,1,5,0,0,3996001,425.0,1224.0,1.0,0.0,1999.0,2.0,402.0
9,5,1134,1370,2504,2,1,4,1,11,1,0,4024035,245.0,1122.0,0.0,0.0,2005.0,3.0,656.0
5,5,760,595,1355,2,0,3,1,5,0,0,3784950,0.0,728.0,0.0,0.0,1966.0,2.0,528.0
6,6,1497,797,2294,3,0,5,1,9,1,0,3853369,234.0,741.0,0.0,0.0,1963.0,2.0,658.0
9,5,1702,0,1702,1,1,1,1,7,1,0,4032064,766.0,1702.0,1.0,0.0,2008.0,3.0,1052.0
