Overall Qual,Overall Cond,1st Flr SF,2nd Flr SF,Gr Liv Area,Half Bath,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Misc Val,Year Built Year Remod/Add,Mas Vnr Area,Total Bsmt SF,Bsmt Full Bath,Garage Area,bed_full_bath
6,5,1189,0,1189,0,1,4,0,0,3988009,197.0,1189.0,1.0,392.0,4.0
9,5,1666,0,1666,0,1,6,1,0,4024036,572.0,1666.0,1.0,575.0,4.0
7,5,1200,0,1200,0,1,5,0,0,4012009,0.0,1176.0,1.0,555.0,4.0
5,7,928,0,928,0,1,4,0,0,3912000,0.0,928.0,0.0,252.0,2.0
5,5,1336,0,1336,0,1,6,1,650,3876961,128.0,1288.0,0.0,502.0,6.0
7,5,600,600,1200,1,1,4,0,0,4016016,120.0,600.0,0.0,480.0,4.0
6,6,1427,0,1427,0,1,7,0,0,3876961,0.0,1427.0,0.0,516.0,8.0
7,5,1212,780,1992,1,1,7,2,0,3995992,254.0,860.0,1.0,608.0,6.0
7,5,754,786,1540,1,1,6,0,0,3976036,0.0,754.0,1.0,495.0,6.0
5,5,1535,0,1535,0,2,8,0,0,3916441,0.0,0.0,0.0,400.0,8.0
5,7,1152,0,1152,0,1,6,1,0,3857296,86.0,1152.0,1.0,484.0,3.0
8,5,1151,0,1151,0,1,5,0,0,4026042,30.0,1141.0,1.0,484.0,4.0
6,5,1138,0,1138,0,1,6,1,0,3841600,54.0,1138.0,0.0,480.0,3.0
5,5,1074,0,1074,0,1,6,1,0,3825936,0.0,894.0,0.0,396.0,2.0
9,5,1561,0,1561,0,1,6,1,0,4020025,246.0,1561.0,1.0,556.0,4.0
8,5,1358,1368,2726,1,1,9,1,0,3980025,397.0,1342.0,0.0,725.0,8.0
9,5,1884,0,1884,0,1,7,1,0,4016016,296.0,1884.0,1.0,670.0,4.0
4,7,605,0,605,0,1,5,0,0,3843840,0.0,528.0,1.0,0.0,2.0
8,9,1671,0,1671,0,1,6,1,0,3965832,0.0,1426.0,1.0,550.0,9.0
3,3,797,0,797,0,1,5,0,0,3705000,0.0,245.0,0.0,0.0,2.0
6,5,804,1157,1961,1,1,7,1,0,4006002,0.0,804.0,1.0,560.0,6.0
5,6,1193,0,1193,0,1,6,0,0,3888784,144.0,1153.0,1.0,501.0,4.0
7,5,673,709,1382,1,1,6,0,0,4000000,0.0,673.0,1.0,490.0,6.0
6,7,1664,862,2526,0,1,10,1,0,3736200,0.0,714.0,0.0,216.0,10.0
6,6,1390,0,1390,1,1,4,2,0,3829849,902.0,1705.0,1.0,550.0,1.0
7,5,764,862,1626,1,1,6,0,0,4012009,106.0,764.0,0.0,474.0,4.0
5,6,868,690,1558,1,1,7,1,0,3781050,0.0,690.0,0.0,400.0,3.0
5,5,1422,0,1422,0,1,6,1,600,3876880,0.0,978.0,0.0,286.0,3.0
5,7,1128,445,1573,0,1,8,1,0,3844560,0.0,1078.0,0.0,360.0,6.0
6,6,1116,0,1116,1,1,5,0,0,3849444,261.0,1116.0,0.0,440.0,3.0
2,2,660,0,660,0,1,5,0,0,3796650,0.0,0.0,0.0,0.0,2.0
6,5,1707,0,1707,0,1,7,1,0,3952044,144.0,1140.0,0.0,479.0,6.0
5,4,1466,0,1466,1,1,6,2,0,3837681,132.0,1466.0,0.0,528.0,3.0
9,5,1638,0,1638,0,1,5,1,0,4000000,260.0,1614.0,1.0,495.0,4.0
5,3,1721,0,1721,0,1,7,2,0,3841600,275.0,988.0,1.0,626.0,6.0
6,5,928,836,1764,1,1,7,0,0,3988009,0.0,928.0,1.0,470.0,6.0
5,6,996,0,996,0,1,6,1,0,3819860,0.0,996.0,1.0,0.0,3.0
5,5,1202,0,1202,0,1,6,0,0,3825936,0.0,1202.0,0.0,304.0,3.0
5,5,988,0,988,0,1,5,0,0,3845521,57.0,988.0,1.0,572.0,3.0
5,6,1028,0,1028,0,1,5,1,0,3757650,0.0,1008.0,0.0,360.0,2.0
5,7,720,564,1284,1,1,5,0,0,3796650,0.0,720.0,0.0,240.0,2.0
9,3,1599,1345,2944,2,1,9,1,0,3908529,1050.0,994.0,0.0,864.0,6.0
8,5,707,707,1414,1,1,6,1,0,4016016,0.0,707.0,0.0,403.0,6.0
7,7,959,650,1609,1,1,8,2,0,3844680,0.0,637.0,0.0,579.0,3.0
6,5,813,712,1525,1,1,6,1,0,3990006,0.0,813.0,1.0,400.0,6.0
5,5,1092,564,1656,1,1,7,1,0,3869089,0.0,624.0,0.0,288.0,3.0
7,6,1055,0,1055,0,1,4,0,0,3908529,0.0,1055.0,0.0,440.0,4.0
5,7,676,676,1352,0,1,7,0,0,3889634,0.0,676.0,0.0,720.0,8.0
6,5,855,601,1456,1,1,6,1,0,3908529,0.0,855.0,0.0,440.0,6.0
8,5,1719,0,1719,1,1,6,2,0,3972049,0.0,1719.0,2.0,473.0,1.0
5,6,864,0,864,0,1,5,0,0,3753750,0.0,864.0,1.0,0.0,2.0
6,5,483,504,987,1,1,5,0,0,3892729,359.0,483.0,0.0,264.0,2.0
5,8,780,240,1020,0,1,6,0,0,3742500,0.0,780.0,0.0,0.0,2.0
8,5,1554,0,1554,0,1,6,1,0,4024036,108.0,1554.0,0.0,627.0,4.0
10,5,1528,1862,3390,1,1,10,1,0,4024036,662.0,1528.0,0.0,758.0,15.0
6,8,780,780,1560,1,1,7,0,0,3841208,0.0,780.0,0.0,0.0,3.0
4,5,864,0,864,0,1,4,0,0,3806401,0.0,864.0,0.0,400.0,2.0
6,5,1008,881,1889,1,1,9,1,0,4000000,0.0,982.0,0.0,431.0,6.0
5,8,1040,0,1040,1,1,6,0,0,3943620,0.0,1040.0,1.0,260.0,3.0
5,7,1172,0,1172,0,1,5,0,0,3904092,0.0,1172.0,1.0,366.0,3.0
8,5,1418,0,1418,1,1,6,1,0,4040100,0.0,1642.0,1.0,852.0,1.0
6,6,959,408,1367,0,1,6,1,0,3765450,0.0,884.0,0.0,560.0,3.0
7,5,495,1427,1922,0,1,7,1,0,4012009,500.0,0.0,0.0,672.0,12.0
6,6,1422,0,1422,0,1,7,1,0,3924361,210.0,1422.0,0.0,576.0,6.0
7,5,985,857,1842,1,1,7,1,0,4000000,144.0,985.0,1.0,486.0,6.0
4,5,888,1074,1962,1,1,9,1,0,3734250,0.0,888.0,0.0,572.0,4.0
5,7,1120,0,1120,0,1,5,1,1200,3939864,165.0,864.0,0.0,656.0,3.0
9,5,1992,876,2868,1,1,11,1,0,4022030,208.0,1992.0,0.0,716.0,12.0
6,3,1478,0,1478,1,1,6,2,0,3829849,0.0,1478.0,1.0,442.0,3.0
7,5,950,1045,1995,1,1,8,1,0,3982020,0.0,930.0,1.0,610.0,8.0
5,7,912,0,912,0,1,5,0,480,3886630,0.0,912.0,0.0,297.0,2.0
6,5,1326,0,1326,0,1,6,0,2000,4020025,0.0,1326.0,1.0,388.0,6.0
8,5,1204,0,1204,0,1,5,0,0,3948169,0.0,1191.0,0.0,461.0,4.0
6,6,798,813,1611,1,1,7,0,0,3857296,360.0,780.0,1.0,442.0,4.0
4,5,960,0,960,0,1,6,0,0,3880900,160.0,960.0,1.0,576.0,3.0
5,6,1236,0,1236,0,1,6,1,0,3906172,64.0,1070.0,0.0,447.0,2.0
5,7,1416,0,1416,0,1,7,0,0,3849426,0.0,816.0,0.0,576.0,6.0
7,5,946,927,1873,1,1,7,1,0,3952144,360.0,929.0,1.0,619.0,6.0
5,1,1088,1040,2128,0,2,11,0,0,3747900,0.0,1040.0,0.0,0.0,8.0
7,5,764,862,1626,1,1,6,0,0,4014012,106.0,764.0,1.0,474.0,4.0
5,7,816,0,816,0,1,5,0,0,3829849,0.0,816.0,1.0,308.0,2.0
5,3,536,576,1112,1,1,4,0,0,3904576,0.0,536.0,0.0,336.0,3.0
7,7,572,539,1111,0,1,5,1,0,3755700,0.0,572.0,0.0,288.0,2.0
6,6,855,586,1441,1,1,7,1,0,3912484,0.0,855.0,0.0,440.0,6.0
4,4,672,252,924,0,1,5,0,0,3784950,0.0,672.0,1.0,280.0,2.0
5,5,1126,0,1126,0,1,5,0,0,3936256,0.0,1060.0,1.0,506.0,2.0
5,6,992,0,992,0,1,6,0,0,3818116,0.0,381.0,0.0,319.0,3.0
6,7,752,624,1376,0,1,7,0,0,3744000,0.0,768.0,0.0,576.0,3.0
7,5,1218,0,1218,0,1,4,0,0,4038090,0.0,1218.0,0.0,676.0,4.0
5,7,888,756,1644,1,1,7,2,0,3874290,224.0,728.0,0.0,312.0,3.0
7,5,1601,0,1601,0,1,7,1,0,3912484,206.0,1271.0,0.0,478.0,6.0
7,7,1313,1182,2495,0,1,10,1,0,3778110,0.0,1313.0,0.0,342.0,10.0
6,5,807,702,1509,1,1,7,1,0,4010006,0.0,783.0,1.0,393.0,6.0
5,5,1092,0,1092,0,1,6,1,0,3849444,116.0,1092.0,0.0,288.0,3.0
7,5,1325,1093,2418,1,1,9,1,0,3974042,651.0,1311.0,1.0,983.0,6.0
6,5,483,504,987,1,1,5,0,0,3884841,504.0,483.0,0.0,264.0,2.0
4,5,1121,0,1121,0,1,5,0,0,4014012,0.0,1121.0,0.0,440.0,4.0
6,7,1236,0,1236,0,1,6,0,0,3906172,0.0,912.0,1.0,923.0,2.0
5,6,1074,0,1074,1,1,6,0,0,3900625,0.0,1056.0,1.0,495.0,3.0
1,5,733,0,733,0,1,4,0,0,3810304,0.0,0.0,0.0,487.0,2.0
7,5,884,884,1768,1,1,8,0,0,4012009,252.0,884.0,1.0,543.0,6.0
7,5,1266,0,1266,0,1,6,1,0,4020025,0.0,1257.0,0.0,453.0,6.0
8,5,2129,743,2872,1,1,9,1,0,3984000,337.0,1683.0,0.0,541.0,8.0
8,5,1464,0,1464,0,1,6,0,0,4028049,84.0,1485.0,1.0,754.0,6.0
7,6,1216,941,2157,1,1,8,2,0,3865156,309.0,924.0,0.0,487.0,8.0
8,5,1264,1312,2576,1,1,10,1,0,4024036,466.0,1234.0,0.0,666.0,8.0
9,5,1414,1384,2798,1,1,11,1,0,4022030,600.0,1398.0,1.0,670.0,9.0
8,6,1743,0,1743,1,1,5,2,0,3904576,0.0,966.0,2.0,529.0,0.0
6,5,1567,0,1567,0,1,5,2,0,3908529,0.0,1567.0,1.0,714.0,4.0
7,5,1370,0,1370,0,1,6,1,0,3904576,189.0,1090.0,0.0,479.0,6.0
5,5,1338,1296,2634,2,2,12,0,0,3876961,368.0,1248.0,1.0,968.0,12.0
8,5,1590,0,1590,1,1,6,0,0,4022030,198.0,1570.0,1.0,754.0,4.0
7,5,1450,0,1450,0,1,6,0,0,4034072,140.0,1450.0,0.0,788.0,4.0
6,3,846,492,1338,0,1,7,0,0,3734250,0.0,832.0,0.0,528.0,6.0
7,5,728,728,1456,1,1,8,1,0,4028049,0.0,728.0,0.0,400.0,6.0
10,5,2392,0,2392,0,1,8,1,0,4012009,922.0,2392.0,0.0,968.0,6.0
4,5,530,462,992,0,1,4,0,0,3880900,0.0,530.0,1.0,297.0,2.0
10,5,1026,981,2007,1,1,10,1,0,4032064,160.0,1017.0,1.0,812.0,6.0
7,5,1108,1277,2385,1,1,8,1,0,3992004,275.0,1066.0,0.0,600.0,8.0
7,5,918,728,1646,0,1,7,2,0,3784950,0.0,918.0,0.0,240.0,8.0
7,5,728,728,1456,1,1,7,0,0,4028049,16.0,728.0,0.0,400.0,6.0
5,7,548,492,1040,0,1,5,0,0,3833280,0.0,528.0,0.0,624.0,2.0
6,6,1370,1254,2624,1,1,10,1,0,3740100,0.0,1370.0,1.0,864.0,8.0
5,5,1264,0,1264,0,1,7,1,0,3884805,0.0,1068.0,1.0,528.0,2.0
7,5,1557,0,1557,0,1,7,1,0,4014012,18.0,1374.0,0.0,420.0,4.0
6,7,1287,0,1287,1,1,5,2,0,3908529,0.0,957.0,1.0,541.0,2.0
6,7,1004,0,1004,0,1,5,1,700,3880900,180.0,1004.0,1.0,480.0,2.0
7,5,1162,0,1162,0,1,6,0,0,4028049,0.0,1162.0,0.0,483.0,6.0
7,5,1436,0,1436,0,1,6,0,0,4034072,0.0,1436.0,0.0,529.0,6.0
5,8,960,0,960,0,1,6,0,0,3931889,0.0,960.0,1.0,300.0,3.0
5,6,1196,0,1196,0,1,6,0,0,3873024,0.0,1196.0,1.0,336.0,3.0
8,5,1269,0,1269,0,1,6,1,0,4018020,16.0,1256.0,0.0,430.0,4.0
5,8,1031,0,1031,0,1,5,0,0,3913760,0.0,1031.0,1.0,230.0,2.0
4,8,448,272,720,0,1,5,0,0,3796200,0.0,448.0,0.0,280.0,1.0
6,4,1505,0,1505,0,1,6,1,0,3814209,90.0,1505.0,1.0,505.0,2.0
5,7,954,0,954,0,1,5,1,0,3779100,0.0,920.0,0.0,240.0,2.0
6,5,750,750,1500,1,1,6,0,0,4022030,0.0,750.0,0.0,564.0,6.0
5,6,1050,0,1050,0,1,6,0,0,3845521,0.0,1050.0,1.0,368.0,3.0
8,5,2079,608,2687,1,1,9,0,0,3976036,0.0,2062.0,0.0,618.0,8.0
6,7,1252,0,1252,0,1,4,1,0,3871000,0.0,1602.0,1.0,564.0,1.0
7,5,774,656,1430,1,1,7,1,0,3998000,0.0,384.0,0.0,400.0,6.0
5,5,1114,0,1114,0,1,6,0,0,4014012,0.0,1114.0,1.0,576.0,6.0
6,5,1224,0,1224,0,1,5,0,0,3996001,425.0,1224.0,1.0,402.0,4.0
9,5,1134,1370,2504,1,1,11,1,0,4024035,245.0,1122.0,0.0,656.0,8.0
5,5,760,595,1355,0,1,5,0,0,3784950,0.0,728.0,0.0,528.0,6.0
6,6,1497,797,2294,0,1,9,1,0,3853369,234.0,741.0,0.0,658.0,15.0
9,5,1702,0,1702,1,1,7,1,0,4032064,766.0,1702.0,1.0,1052.0,1.0
6,5,1509,0,1509,0,1,5,1,0,3954132,219.0,1461.0,1.0,600.0,6.0
7,5,961,756,1717,0,1,7,1,0,3772550,0.0,756.0,1.0,642.0,3.0
7,7,1240,0,1240,0,1,6,0,0,3940225,0.0,1265.0,0.0,528.0,6.0
7,5,1166,0,1166,0,1,5,0,0,4020025,182.0,856.0,1.0,400.0,4.0
5,8,764,700,1464,0,1,7,0,0,3823820,0.0,504.0,0.0,0.0,6.0
6,7,1652,0,1652,1,1,6,1,0,3900369,136.0,1592.0,1.0,510.0,3.0
6,6,1182,960,2142,1,1,8,1,0,3873024,576.0,896.0,0.0,509.0,8.0
6,7,1092,0,1092,0,1,6,0,0,3857296,260.0,1092.0,1.0,504.0,3.0
7,7,1122,549,1671,0,1,7,1,0,3761550,270.0,1022.0,0.0,451.0,8.0
5,6,1488,0,1488,0,1,7,1,0,3907904,232.0,0.0,0.0,569.0,3.0
5,6,1624,0,1624,0,1,6,1,0,3810304,150.0,1444.0,1.0,240.0,2.0
6,5,1362,0,1362,0,1,6,1,0,4022030,256.0,1362.0,0.0,460.0,4.0
7,5,1218,0,1218,0,1,6,0,0,4030056,210.0,1218.0,1.0,462.0,4.0
6,5,1068,0,1068,0,1,5,1,0,3749850,0.0,1124.0,1.0,288.0,2.0
6,6,1625,0,1625,0,1,6,1,0,3916441,0.0,1625.0,0.0,576.0,6.0
7,7,1064,703,1767,0,1,5,1,0,3948169,0.0,1064.0,1.0,504.0,4.0
6,8,1050,0,1050,0,1,6,0,0,3908000,176.0,1050.0,1.0,286.0,3.0
4,6,907,0,907,0,1,5,0,0,3829849,0.0,907.0,0.0,352.0,3.0
2,4,640,0,845,0,1,4,0,0,3781050,0.0,0.0,0.0,256.0,1.0
8,7,1251,1250,2501,1,1,9,1,0,3980025,466.0,1242.0,0.0,751.0,8.0
5,5,1209,0,1209,0,1,6,0,0,3865156,0.0,1209.0,1.0,504.0,3.0
4,7,453,453,906,0,1,5,0,0,3777150,0.0,348.0,0.0,231.0,2.0
8,5,1601,0,1601,0,1,6,1,2000,4006002,479.0,1581.0,1.0,670.0,6.0
7,5,1336,0,1336,0,1,6,0,0,4022030,0.0,1336.0,1.0,502.0,6.0
4,6,1095,561,1656,0,1,8,0,0,3850900,0.0,801.0,0.0,440.0,4.0
5,5,1124,0,1124,0,1,5,1,0,3818116,0.0,0.0,0.0,0.0,3.0
7,5,1008,884,1892,1,1,8,1,0,4002000,647.0,982.0,0.0,431.0,6.0
3,5,1014,685,1699,0,2,7,0,0,3743000,0.0,978.0,1.0,420.0,6.0
6,7,780,636,1416,1,1,6,0,0,3798600,0.0,780.0,0.0,312.0,3.0
3,2,1306,0,1306,0,1,6,0,450,3814040,0.0,728.0,0.0,0.0,3.0
4,7,672,0,672,0,1,4,0,0,3889700,0.0,672.0,0.0,308.0,2.0
5,6,1160,0,1160,0,1,6,0,500,3873024,0.0,1113.0,1.0,257.0,3.0
4,5,930,0,930,0,1,5,0,3000,3814209,115.0,911.0,0.0,286.0,2.0
4,7,708,0,708,0,1,5,0,0,3783000,0.0,420.0,0.0,0.0,2.0
6,5,1575,0,1575,0,1,5,0,0,3968064,0.0,1575.0,1.0,529.0,4.0
5,6,1059,0,1059,0,1,6,0,0,3865156,0.0,1059.0,1.0,286.0,3.0
4,3,1005,0,1005,0,1,5,0,0,3857296,0.0,1005.0,1.0,440.0,3.0
7,5,1057,872,1929,1,1,7,1,0,4004001,0.0,1057.0,1.0,650.0,6.0
7,5,520,600,1200,1,1,4,0,0,4020025,0.0,600.0,0.0,480.0,4.0
8,5,1804,886,2690,1,1,9,1,0,4012009,221.0,1765.0,0.0,795.0,8.0
5,7,833,0,833,0,1,5,0,0,3936256,0.0,833.0,1.0,495.0,2.0
6,5,728,728,1456,1,1,8,0,0,4024036,0.0,728.0,0.0,429.0,6.0
5,8,864,0,864,0,1,5,0,0,3903900,0.0,864.0,1.0,720.0,3.0
6,5,1586,0,1586,0,1,7,1,0,3954042,0.0,1362.0,0.0,435.0,6.0
5,6,1370,0,1370,0,1,6,1,0,3825936,272.0,1058.0,1.0,300.0,3.0
6,5,914,0,914,0,1,4,0,0,4008004,0.0,914.0,1.0,0.0,2.0
7,5,1555,0,1555,0,1,7,1,0,4022030,16.0,1373.0,0.0,430.0,4.0
6,6,716,840,1556,1,1,6,1,0,3920400,0.0,716.0,1.0,452.0,6.0
5,5,882,0,882,0,1,5,0,0,3888784,0.0,882.0,1.0,461.0,3.0
5,5,1167,0,1167,0,1,6,1,0,3744000,0.0,915.0,0.0,495.0,3.0
9,5,1800,0,1800,0,1,6,1,0,4030056,714.0,1800.0,1.0,944.0,4.0
6,6,855,601,1456,1,1,6,1,0,3900625,0.0,855.0,0.0,440.0,6.0
7,5,831,829,1660,1,1,7,0,0,4008004,95.0,831.0,0.0,493.0,6.0
7,5,812,670,1482,1,1,7,1,0,3968064,170.0,384.0,0.0,392.0,6.0
6,5,1522,0,1522,0,1,7,1,0,3936256,136.0,1190.0,0.0,552.0,6.0
9,5,2036,0,2036,0,1,9,1,0,4032064,246.0,2190.0,1.0,780.0,6.0
5,5,1595,0,1595,0,1,5,0,0,3964081,0.0,1582.0,1.0,672.0,4.0
7,5,891,795,1686,1,1,8,0,0,4020025,172.0,891.0,0.0,462.0,6.0
7,5,1344,0,1344,0,2,8,0,0,3990006,200.0,1344.0,2.0,784.0,4.0
5,5,1652,0,1652,0,2,8,0,0,3880900,0.0,1652.0,0.0,928.0,8.0
4,5,832,505,1337,0,1,5,0,0,3825936,0.0,832.0,0.0,263.0,3.0
7,6,1222,698,1920,0,1,8,1,0,3920256,143.0,570.0,0.0,487.0,12.0
6,5,848,0,848,0,1,3,0,0,4016016,205.0,848.0,1.0,420.0,1.0
7,5,1055,0,1055,0,1,4,1,0,3900625,0.0,1057.0,0.0,440.0,4.0
6,5,1291,0,1291,0,1,6,1,0,3986012,0.0,1291.0,1.0,431.0,2.0
6,8,720,0,720,0,1,5,0,0,3861784,0.0,624.0,0.0,484.0,2.0
4,5,526,462,988,0,1,5,0,0,3892729,0.0,462.0,1.0,297.0,2.0
