Id,Lot Area,Overall Qual,Overall Cond,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Year Built Year Remod/Add
2311,8238,6,5,813,712,0,1525,2,1,3,1,6,1,421,72,0,0,0,0,0,3990006
1551,6000,5,5,1092,564,0,1656,1,1,3,1,7,1,0,180,0,0,100,0,0,3869089
1049,2529,7,6,1055,0,0,1055,2,0,2,1,4,0,0,38,0,0,0,0,0,3908529
657,10800,5,7,676,676,0,1352,2,0,4,1,7,0,187,0,128,0,0,0,0,3889634
414,2349,6,5,855,601,0,1456,2,1,3,1,6,1,0,28,0,0,0,0,0,3908529
1181,10846,8,5,1719,0,0,1719,1,1,1,1,6,2,122,30,0,0,0,0,0,3972049
1514,5604,5,6,864,0,0,864,1,0,2,1,5,0,0,0,96,0,0,0,0,3753750
1040,1680,6,5,483,504,0,987,1,1,2,1,5,0,52,0,0,0,0,0,0,3892729
216,6342,5,8,780,240,0,1020,1,0,2,1,6,0,0,0,176,0,0,0,0,3742500
1720,4590,8,5,1554,0,0,1554,2,0,2,1,6,1,156,73,0,0,0,0,0,4024036
2331,18062,10,5,1528,1862,0,3390,3,1,5,1,10,1,204,34,0,0,0,0,0,4024036
204,12900,6,8,780,780,0,1560,1,1,3,1,7,0,344,0,0,0,168,0,0,3841208
19,19138,4,5,864,0,0,864,1,0,2,1,4,0,0,0,0,0,0,0,0,3806401
2438,8658,6,5,1008,881,0,1889,2,1,3,1,9,1,0,0,0,0,0,0,0,4000000
89,6897,5,8,1040,0,0,1040,1,1,3,1,6,0,0,104,0,0,0,0,0,3943620
240,9525,5,7,1172,0,0,1172,1,0,3,1,5,0,240,0,0,0,0,0,0,3904092
105,12853,8,5,1418,0,0,1418,1,1,1,1,6,1,160,192,0,224,0,0,0,4040100
2020,6240,6,6,959,408,0,1367,1,0,3,1,6,1,0,0,0,0,120,0,0,3765450
888,7301,7,5,495,1427,0,1922,3,0,4,1,7,1,0,0,177,0,0,0,0,4012009
1019,12090,6,6,1422,0,0,1422,2,0,3,1,7,1,276,0,0,0,0,0,0,3924361
2132,8826,7,5,985,857,0,1842,2,1,3,1,7,1,193,96,0,0,0,0,0,4000000
203,8094,4,5,888,1074,0,1962,1,1,4,1,9,1,160,0,364,0,0,0,0,3734250
420,10710,5,7,1120,0,0,1120,1,0,3,1,5,1,0,162,0,0,0,0,1200,3939864
2333,16056,9,5,1992,876,0,2868,3,1,4,1,11,1,214,108,0,0,0,0,0,4022030
632,8400,6,3,1478,0,0,1478,1,1,3,1,6,2,114,0,0,0,216,0,0,3829849
2800,11250,7,5,950,1045,0,1995,2,1,4,1,8,1,275,170,0,0,0,0,0,3982020
1885,7535,5,7,912,0,0,912,1,0,2,1,5,0,12,285,0,0,0,0,480,3886630
1734,12216,6,5,1326,0,0,1326,2,0,3,1,6,0,120,23,0,0,0,0,2000,4020025
2327,3701,8,5,1204,0,0,1204,2,0,2,1,5,0,120,70,0,0,0,0,0,3948169
1282,9760,6,6,798,813,0,1611,1,1,4,1,7,0,328,128,0,0,189,0,0,3857296
2688,9873,4,5,960,0,0,960,1,0,3,1,6,0,0,288,0,0,0,0,0,3880900
2581,10011,5,6,1236,0,0,1236,1,0,2,1,6,1,0,0,0,0,0,0,0,3906172
2067,25339,5,7,1416,0,0,1416,2,0,3,1,7,0,0,0,112,0,0,0,0,3849426
2115,8883,7,5,946,927,0,1873,2,1,3,1,7,1,108,48,0,0,144,0,0,3952144
754,3000,5,1,1088,1040,0,2128,2,0,4,2,11,0,0,56,0,0,0,0,0,3747900
1079,2448,7,5,764,862,0,1626,2,1,2,1,6,0,0,27,0,0,0,0,0,4014012
2615,7100,5,7,816,0,0,816,1,0,2,1,5,0,0,0,0,0,0,0,0,3829849
329,2592,5,3,536,576,0,1112,1,1,3,1,4,0,182,0,0,0,0,0,0,3904576
1320,5700,7,7,572,539,0,1111,1,0,2,1,5,1,0,0,176,0,0,0,0,3755700
416,2289,6,6,855,586,0,1441,2,1,3,1,7,1,28,0,0,0,0,0,0,3912484
284,12180,4,4,672,252,0,924,1,0,2,1,5,0,0,0,0,0,0,0,0,3784950
1385,7400,5,5,1126,0,0,1126,1,0,2,1,5,0,178,0,0,0,0,0,0,3936256
275,8842,5,6,992,0,0,992,1,0,3,1,6,0,60,0,56,0,0,0,0,3818116
2024,8850,6,7,752,624,0,1376,1,0,3,1,7,0,0,54,144,0,0,0,0,3744000
68,9215,7,5,1218,0,0,1218,2,0,2,1,4,0,0,136,0,0,0,0,0,4038090
1910,9480,5,7,888,756,0,1644,1,1,3,1,7,2,168,0,0,0,0,0,0,3874290
381,11880,7,5,1601,0,0,1601,2,0,3,1,7,1,0,0,0,0,0,0,0,3912484
1323,10800,7,7,1313,1182,0,2495,2,0,5,1,10,1,0,299,0,0,0,0,0,3778110
2432,7861,6,5,807,702,0,1509,2,1,3,1,7,1,100,75,0,0,0,0,0,4010006
777,11616,5,5,1092,0,0,1092,1,0,3,1,6,1,0,20,144,0,0,0,0,3849444
1107,10542,7,5,1325,1093,0,2418,2,1,3,1,9,1,250,154,216,0,0,0,0,3974042
30,1680,6,5,483,504,0,987,1,1,2,1,5,0,275,0,0,0,0,0,0,3884841
282,8546,4,5,1121,0,0,1121,2,0,2,1,5,0,132,64,0,0,0,0,0,4014012
188,7407,6,7,1236,0,0,1236,1,0,2,1,6,0,0,158,158,0,0,0,0,3906172
2356,10140,5,6,1074,0,0,1074,1,1,3,1,6,0,0,88,0,0,0,0,0,3900625
1554,14584,1,5,733,0,0,733,1,0,2,1,4,0,0,0,0,0,0,0,0,3810304
1464,8158,7,5,884,884,0,1768,2,1,3,1,8,0,0,63,0,0,0,0,0,4012009
2469,7500,7,5,1266,0,0,1266,2,0,3,1,6,1,38,144,0,0,0,0,0,4020025
1834,10678,8,5,2129,743,0,2872,2,1,4,1,9,1,0,33,0,0,0,0,0,3984000
1779,15256,8,5,1464,0,0,1464,2,0,3,1,6,0,168,160,0,0,0,0,0,4028049
2569,14200,7,6,1216,941,0,2157,2,1,4,1,8,2,105,66,0,0,0,0,0,3865156
2334,12438,8,5,1264,1312,0,2576,2,1,4,1,10,1,324,100,0,0,0,0,0,4024036
2330,16023,9,5,1414,1384,0,2798,3,1,3,1,11,1,182,37,0,0,0,0,0,4022030
2119,20064,8,6,1743,0,0,1743,0,1,0,1,5,2,646,0,0,0,0,0,0,3904576
988,9819,6,5,1567,0,0,1567,2,0,2,1,5,2,264,32,0,0,0,0,0,3908529
382,10400,7,5,1370,0,0,1370,2,0,3,1,6,1,0,0,0,0,0,0,0,3904576
670,11643,5,5,1338,1296,0,2634,2,2,6,2,12,0,0,0,0,0,0,0,0,3876961
2760,11645,8,5,1590,0,0,1590,2,1,2,1,6,0,176,80,0,0,0,0,0,4022030
543,7328,7,5,1450,0,0,1450,2,0,2,1,6,0,0,93,0,0,0,0,0,4034072
2835,7822,6,3,846,492,0,1338,2,0,3,1,7,0,0,0,208,0,0,0,0,3734250
1735,9018,7,5,728,728,0,1456,2,1,3,1,8,1,100,24,0,0,0,0,0,4028049
448,13472,10,5,2392,0,0,2392,2,0,3,1,8,1,248,105,0,0,0,0,0,4012009
2287,1533,4,5,530,462,0,992,1,0,2,1,4,0,112,97,0,0,0,0,0,3880900
524,11003,10,5,1026,981,0,2007,2,1,3,1,10,1,168,52,0,0,0,0,0,4032064
1767,10790,7,5,1108,1277,0,2385,2,1,4,1,8,1,120,38,0,0,0,0,0,3992004
2206,7128,7,5,918,728,0,1646,2,0,4,1,7,2,0,0,0,0,126,0,0,3784950
1740,7713,7,5,728,728,0,1456,2,1,3,1,7,0,100,24,0,0,0,0,0,4028049
199,6240,5,7,548,492,0,1040,1,0,2,1,5,0,306,0,32,0,0,0,0,3833280
2214,22420,6,6,1370,1254,0,2624,2,1,4,1,10,1,0,0,0,0,0,0,0,3740100
323,15300,5,5,1264,0,0,1264,1,0,2,1,7,1,0,0,0,0,0,0,0,3884805
2421,3196,7,5,1557,0,0,1557,2,0,2,1,7,1,143,20,0,0,0,0,0,4014012
952,9360,6,7,1287,0,0,1287,1,1,2,1,5,2,302,39,0,0,120,0,0,3908529
24,11241,6,7,1004,0,0,1004,1,0,2,1,5,1,0,0,0,0,0,0,700,3880900
1139,9260,7,5,1162,0,0,1162,2,0,3,1,6,0,0,32,0,0,0,0,0,4028049
518,7993,7,5,1436,0,0,1436,2,0,3,1,6,0,0,121,0,0,0,0,0,4034072
1390,9239,5,8,960,0,0,960,1,0,3,1,6,0,168,0,0,0,0,0,0,3931889
277,10044,5,6,1196,0,0,1196,1,0,3,1,6,0,257,0,168,0,0,0,0,3873024
54,3182,8,5,1269,0,0,1269,2,0,2,1,6,1,146,20,0,0,144,0,0,4018020
649,7626,5,8,1031,0,0,1031,1,0,2,1,5,0,0,0,0,0,0,0,0,3913760
2600,7008,4,8,448,272,0,720,1,0,1,1,5,0,0,0,70,0,0,0,0,3796200
617,12160,6,4,1505,0,0,1505,1,0,2,1,6,1,0,0,0,162,0,0,0,3814209
2209,6305,5,7,954,0,0,954,1,0,2,1,5,1,0,0,0,0,0,0,0,3779100
2814,8846,6,5,750,750,0,1500,2,1,3,1,6,0,0,35,0,0,0,0,0,4022030
2542,10659,5,6,1050,0,0,1050,1,0,3,1,6,0,0,319,0,0,0,0,0,3845521
2323,13108,8,5,2079,608,0,2687,2,1,4,1,9,0,168,12,0,0,0,0,0,3976036
1393,13500,6,7,1252,0,0,1252,1,0,1,1,4,1,409,0,0,0,0,0,0,3871000
490,7750,7,5,774,656,0,1430,2,1,3,1,7,1,0,0,0,0,0,0,0,3998000
542,12450,5,5,1114,0,0,1114,2,0,3,1,6,0,0,42,0,0,0,0,0,4014012
973,4500,6,5,1224,0,0,1224,2,0,2,1,5,0,0,304,0,0,0,0,0,3996001
1012,11198,9,5,1134,1370,0,2504,2,1,4,1,11,1,144,39,0,0,0,0,0,4024035
2218,6221,5,5,760,595,0,1355,2,0,3,1,5,0,0,0,0,0,144,0,0,3784950
2033,13200,6,6,1497,797,0,2294,3,0,5,1,9,1,0,110,0,0,0,0,0,3853369
1071,8769,9,5,1702,0,0,1702,1,1,1,1,7,1,0,72,0,0,224,0,0,4032064
1583,10200,6,5,1509,0,0,1509,2,0,3,1,5,1,224,0,0,0,0,0,0,3954132
2858,9550,7,5,961,756,0,1717,1,0,3,1,7,1,0,35,272,0,0,0,0,3772550
2265,10331,7,7,1240,0,0,1240,2,0,3,1,6,0,232,0,0,0,0,0,0,3940225
1088,9587,7,5,1166,0,0,1166,2,0,2,1,5,0,212,0,0,0,0,0,0,4020025
698,9900,5,8,764,700,0,1464,2,0,3,1,7,0,0,0,176,0,0,0,0,3823820
1896,22002,6,7,1652,0,0,1652,1,1,3,1,6,1,0,0,0,0,201,0,0,3900369
628,13000,6,6,1182,960,0,2142,2,1,4,1,8,1,0,72,0,0,252,0,0,3873024
1212,8250,6,7,1092,0,0,1092,1,0,3,1,6,0,0,0,0,0,0,0,0,3857296
2864,8170,7,7,1122,549,0,1671,2,0,4,1,7,1,0,0,0,0,0,0,0,3761550
2740,12048,5,6,1488,0,0,1488,1,0,3,1,7,1,0,189,36,0,348,0,0,3907904
2560,10858,5,6,1624,0,0,1624,1,0,2,1,6,1,0,40,324,0,0,0,0,3810304
1716,7577,6,5,1362,0,0,1362,2,0,2,1,6,1,192,28,0,0,0,0,0,4022030
1130,7500,7,5,1218,0,0,1218,2,0,2,1,6,0,168,168,0,0,0,0,0,4030056
201,6120,6,5,1068,0,0,1068,1,0,2,1,5,1,0,0,128,0,0,0,0,3749850
2886,23580,6,6,1625,0,0,1625,2,0,3,1,6,1,136,28,0,0,0,0,0,3916441
2328,5306,7,7,1064,703,0,1767,2,0,2,1,5,1,441,35,0,0,0,0,0,3948169
2583,8092,6,8,1050,0,0,1050,1,0,3,1,6,0,0,0,0,0,0,0,0,3908000
1206,8593,4,6,907,0,0,907,1,0,3,1,5,0,0,0,0,0,0,0,0,3829849
2242,11067,2,4,640,0,205,845,1,0,1,1,4,0,48,0,0,0,0,0,0,3781050
1105,11929,8,7,1251,1250,0,2501,2,1,4,1,9,1,192,87,0,0,0,0,0,3980025
121,9900,5,5,1209,0,0,1209,1,0,3,1,6,0,0,0,120,0,0,0,0,3865156
1223,4882,4,7,453,453,0,906,1,0,2,1,5,0,0,0,0,0,0,0,0,3777150
265,11423,8,5,1601,0,0,1601,2,0,3,1,6,1,180,0,0,0,0,0,2000,4006002
2813,8772,7,5,1336,0,0,1336,2,0,3,1,6,0,136,43,0,0,0,0,0,4022030
1294,7628,4,6,1095,561,0,1656,2,0,2,1,8,0,187,0,0,0,0,0,0,3850900
2745,8335,5,5,1124,0,0,1124,1,0,3,1,5,1,0,36,190,0,0,0,0,3818116
1094,8220,7,5,1008,884,0,1892,2,1,3,1,8,1,108,0,0,0,0,0,0,4002000
651,10615,3,5,1014,685,0,1699,2,0,3,2,7,0,0,74,0,0,0,0,0,3743000
198,6000,6,7,780,636,0,1416,1,1,3,1,6,0,221,0,48,0,0,0,0,3798600
131,5350,3,2,1306,0,0,1306,1,0,3,1,6,0,263,0,0,0,0,0,450,3814040
1258,5400,4,7,672,0,0,672,1,0,2,1,4,0,88,108,0,0,0,0,0,3889700
1599,17979,5,6,1160,0,0,1160,1,0,3,1,6,0,81,0,0,0,0,0,500,3873024
1508,9520,4,5,930,0,0,930,1,0,2,1,5,0,134,0,0,0,0,0,3000,3814209
615,5330,4,7,708,0,0,708,1,0,2,1,5,0,164,0,0,0,0,0,0,3783000
1815,8012,6,5,1575,0,0,1575,2,0,2,1,5,0,0,0,52,0,0,0,0,3968064
2712,9000,5,6,1059,0,0,1059,1,0,3,1,6,0,0,88,0,0,0,0,0,3865156
2051,14299,4,3,1005,0,0,1005,1,0,3,1,5,0,0,0,0,0,0,0,0,3857296
1863,7050,7,5,1057,872,0,1929,2,1,3,1,7,1,0,235,0,0,0,0,0,4004001
2510,3180,7,5,520,600,80,1200,2,1,2,1,4,0,0,166,0,0,0,0,0,4020025
1069,16451,8,5,1804,886,0,2690,2,1,4,1,9,1,268,58,0,0,0,0,0,4012009
336,12887,5,7,833,0,0,833,1,0,2,1,5,0,431,0,0,0,0,0,0,3936256
2417,15578,6,5,728,728,0,1456,2,1,3,1,8,0,0,0,0,0,0,0,0,4024036
1962,7200,5,8,864,0,0,864,1,0,3,1,5,0,194,0,0,0,0,0,0,3903900
372,17043,6,5,1586,0,0,1586,2,0,3,1,7,1,192,0,0,0,0,0,0,3954042
2578,10000,5,6,1370,0,0,1370,1,0,3,1,6,1,191,0,0,0,120,0,0,3825936
2824,8050,6,5,914,0,0,914,1,0,2,1,4,0,32,0,0,0,0,0,0,4008004
