Id,PID,MS SubClass,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold
770,905101490,20,8816,5,6,1963,1963,1121,0,0,1121,1,0,3,1,5,0,0,80,0,0,0,0,0,6,2009
2063,905107140,20,8197,6,5,1977,1977,1285,0,0,1285,1,1,3,1,7,1,138,0,0,0,0,0,0,4,2007
69,528458070,60,8640,7,5,2009,2009,764,783,0,1547,2,1,3,1,7,0,169,45,0,0,0,0,0,6,2010
2062,905106150,20,8724,5,5,1968,1968,894,0,0,894,1,0,3,1,5,1,0,0,0,0,0,0,0,5,2007
351,527131030,120,5664,8,5,2000,2000,1659,0,0,1659,2,0,2,1,5,1,212,59,0,0,0,0,0,10,2009
2393,528142010,60,12867,8,5,2005,2006,1209,1044,0,2253,2,1,3,1,8,1,243,142,0,0,0,0,0,7,2006
12,527165230,20,7980,6,7,1992,2007,1187,0,0,1187,2,0,3,1,6,0,483,21,0,0,0,0,500,3,2010
2339,527250040,190,34650,5,5,1955,1955,1056,0,0,1056,1,0,3,1,5,0,264,0,0,0,0,0,0,1,2006
624,535104120,20,10573,6,6,1961,1961,1453,0,0,1453,2,0,3,1,6,1,0,49,0,0,288,0,0,4,2009
86,532376160,20,8450,5,8,1965,2009,894,0,0,894,1,0,3,1,5,1,416,144,0,0,0,0,0,4,2010
1534,909277040,50,11700,5,6,1937,1995,1265,673,0,1938,2,0,4,1,7,1,0,40,0,0,0,0,0,7,2008
2243,911103060,190,8250,5,6,1895,2006,1034,957,0,1991,2,0,4,2,9,0,0,0,133,0,0,0,0,6,2007
1957,535450190,50,8064,5,7,1949,2006,672,252,0,924,1,0,3,1,6,1,0,0,0,0,0,0,2000,7,2007
380,527355150,20,9600,8,5,1981,1981,2524,0,0,2524,2,1,4,1,9,1,474,120,0,0,0,0,0,7,2009
2860,909276010,70,11435,8,7,1929,1950,792,725,0,1517,1,0,3,1,7,2,0,0,0,0,0,0,0,6,2006
2517,533250130,120,9549,8,5,1995,1996,1494,0,0,1494,1,1,2,1,6,1,0,30,0,0,216,0,0,4,2006
1933,535302070,20,10950,6,6,1952,1952,948,0,0,948,1,0,2,1,5,0,0,48,0,0,0,0,0,4,2007
820,906340110,20,10637,8,5,2007,2008,1718,0,0,1718,2,0,3,1,7,1,208,44,0,0,0,0,0,9,2009
675,535426150,20,9000,6,6,1958,1958,1142,0,0,1142,1,0,2,1,5,1,0,28,64,0,0,0,0,4,2009
2910,923225240,160,2665,5,6,1977,1977,925,550,0,1475,2,0,4,1,6,1,104,26,0,0,0,0,0,7,2006
21,527358140,20,11751,6,6,1977,1977,1844,0,0,1844,2,0,3,1,7,1,0,122,0,0,0,0,0,1,2010
1873,534177210,20,9600,7,6,1973,1973,1242,0,0,1242,1,1,3,1,6,1,0,0,0,0,0,0,0,9,2007
2125,907135050,20,8428,5,7,1994,1994,990,0,0,990,1,0,3,1,5,0,256,0,0,0,0,0,0,7,2007
1489,908102260,20,9937,5,6,1965,1965,1256,0,0,1256,1,1,3,1,6,0,736,68,0,0,0,0,0,6,2008
2383,528110050,20,13891,10,5,2006,2006,2076,0,0,2076,2,1,2,1,7,1,216,229,0,0,0,0,0,9,2006
983,923275040,85,9101,5,6,1978,1978,1110,0,0,1110,1,0,1,1,4,1,303,30,0,0,0,0,0,7,2009
1325,902406090,50,12150,5,5,1954,1954,1050,745,0,1795,2,0,4,1,7,0,0,0,0,0,0,0,0,11,2008
1378,905102170,20,11200,5,5,1965,1965,1040,0,0,1040,1,0,3,1,5,0,0,0,0,0,0,0,0,2,2008
1537,909281110,70,9670,8,6,1935,1950,983,890,0,1873,1,1,4,1,9,2,0,0,207,0,0,0,0,6,2008
905,909101140,50,10998,5,5,1941,1960,984,620,0,1604,2,0,3,1,6,0,0,68,0,0,0,0,0,7,2009
1532,909275050,70,7200,7,6,1931,2000,851,651,0,1502,1,1,3,1,6,1,0,0,112,0,0,0,0,2,2008
132,534475100,20,9920,5,5,1954,1954,1063,0,0,1063,1,0,3,1,6,0,0,0,164,0,0,0,0,2,2010
1078,528188090,160,2448,7,5,2003,2004,764,862,0,1626,2,1,2,1,6,0,0,27,0,0,0,0,0,10,2008
2511,533221080,160,2998,6,5,2000,2000,768,756,0,1524,2,1,2,1,4,0,0,32,0,0,0,0,0,6,2006
912,909250220,50,7804,4,3,1928,1950,1328,653,0,1981,2,0,4,1,7,2,431,44,0,0,0,0,0,12,2009
2351,527356020,60,16692,7,5,1978,1978,1392,1392,0,2784,3,1,5,1,12,2,0,112,0,0,440,519,2000,7,2006
330,923226250,160,1476,4,7,1970,1970,546,546,0,1092,1,1,3,1,5,0,200,26,0,0,0,0,0,3,2010
2586,535305120,20,10170,6,6,1951,1951,1575,0,0,1575,1,1,2,1,5,1,0,0,0,0,0,0,0,6,2006
224,905106140,60,9364,6,7,1969,1969,663,689,0,1352,1,1,4,1,7,0,379,36,0,0,0,0,0,3,2010
98,533212020,160,2544,7,5,2004,2005,600,600,0,1200,2,1,2,1,4,0,0,172,0,0,0,0,0,2,2010
2565,534479300,20,9888,5,6,1954,1975,936,0,0,936,1,0,2,1,5,0,0,0,160,0,0,0,0,3,2006
1934,535304170,20,7942,6,7,1953,1953,1040,0,0,1040,1,0,3,1,6,0,0,0,0,0,0,0,0,6,2007
997,527107010,60,15038,6,5,1996,1996,916,720,0,1636,2,1,3,1,7,1,168,84,0,0,0,0,0,11,2008
64,528382020,60,11764,8,7,1999,2007,1164,1106,0,2270,2,1,4,1,9,1,132,57,0,0,0,0,0,4,2010
1799,528458130,60,9000,8,5,2007,2007,1184,1426,0,2610,2,1,4,1,11,1,208,364,0,0,0,0,0,8,2007
230,905109170,20,20062,7,7,1977,2001,1483,0,0,1483,1,1,1,1,4,2,496,0,0,0,0,0,0,4,2010
1295,902109160,50,7308,5,5,1920,1950,960,780,0,1740,1,0,2,1,6,1,0,0,236,0,0,0,0,6,2008
638,535178120,20,8750,5,5,1955,1955,1382,0,0,1382,1,0,3,1,6,0,280,0,0,0,0,0,0,7,2009
2278,923202134,20,8402,5,5,2007,2007,1120,0,0,1120,1,0,3,1,6,0,0,30,0,0,0,0,0,12,2007
2202,909252150,70,4000,7,8,1930,1995,567,531,0,1098,1,0,2,1,5,1,0,0,0,0,0,0,0,6,2007
2833,908188150,160,3363,7,5,2004,2004,976,732,0,1708,2,0,3,1,7,0,0,40,0,0,0,0,0,4,2006
1707,528150040,20,13615,9,5,2006,2006,1802,0,0,1802,2,1,3,1,7,1,158,105,0,0,0,0,0,6,2007
2428,528228565,120,3013,7,5,2005,2005,1506,0,0,1506,2,0,2,1,6,1,142,20,0,0,0,0,0,4,2006
242,905453080,20,17485,7,5,2009,2010,1508,0,0,1508,1,0,1,1,5,2,0,0,0,0,0,0,0,1,2010
1564,914453045,20,23730,7,5,1996,1997,2032,0,0,2032,3,0,3,1,7,0,0,46,192,0,0,0,0,9,2008
2613,535403150,20,8910,6,6,1959,1959,1194,0,0,1194,1,0,3,1,6,1,0,0,192,0,0,0,0,7,2006
2832,908188140,160,2522,7,5,2004,2004,970,739,0,1709,2,0,3,1,7,0,0,40,0,0,0,0,0,4,2006
2459,528439030,20,8688,7,5,2005,2005,1616,0,0,1616,2,0,3,1,7,0,208,59,0,0,0,0,0,4,2006
1360,903452025,30,6291,6,6,1930,1950,768,0,0,768,1,0,1,1,4,0,0,0,84,0,0,0,0,7,2008
2723,905200380,30,17529,5,5,1924,1950,872,0,0,872,1,0,2,1,5,1,0,0,116,0,0,0,0,4,2006
1350,903235100,30,6324,4,6,1927,1950,520,0,0,520,1,0,1,1,4,0,49,0,87,0,0,0,0,5,2008
136,535106190,90,11600,5,5,1960,1960,1105,1169,0,2274,2,0,5,2,12,0,0,0,0,0,0,0,0,1,2010
2235,910201050,50,7288,5,7,1925,2003,936,665,0,1601,2,0,3,1,6,0,0,0,0,176,0,0,0,9,2007
1993,902301130,70,4571,5,7,1910,1950,616,616,0,1232,1,0,3,1,6,0,280,0,143,0,0,0,0,6,2007
367,527214050,20,17423,9,5,2008,2009,2234,0,0,2234,2,0,1,1,9,1,0,60,0,0,0,0,0,7,2009
1309,902300215,50,12665,5,8,1915,1950,876,540,0,1416,1,1,4,1,7,1,418,0,194,0,0,0,0,6,2008
402,527425110,20,9000,4,7,1971,2006,864,0,0,864,1,0,3,1,5,0,200,0,0,0,0,0,0,7,2009
1592,923203140,120,4500,6,5,1997,1997,1189,0,0,1189,2,0,2,1,4,0,0,122,0,0,0,0,0,4,2008
2409,528186110,120,6373,9,5,2006,2006,1666,0,0,1666,2,0,2,1,6,1,228,75,0,0,0,0,0,6,2006
539,531371050,20,10083,7,5,2003,2003,1200,0,0,1200,2,0,2,1,5,0,0,41,0,0,0,0,0,8,2009
1940,535327200,20,13300,5,7,1956,2000,928,0,0,928,1,0,2,1,4,0,261,0,156,0,0,0,0,6,2007
588,534129370,20,9600,5,5,1969,1969,1336,0,0,1336,2,0,3,1,6,1,312,11,0,0,0,0,650,8,2009
96,533210060,160,3215,7,5,2004,2004,600,600,0,1200,2,1,2,1,4,0,0,172,0,0,0,0,0,4,2010
1187,534127210,80,11104,6,6,1969,1969,1427,0,0,1427,2,0,4,1,7,0,0,0,0,0,216,0,0,5,2008
2154,907280090,60,15295,7,5,1996,2002,1212,780,0,1992,2,1,3,1,7,2,225,32,0,0,0,0,0,6,2007
550,531452260,60,9109,7,5,1994,1994,754,786,0,1540,2,1,3,1,6,0,140,32,0,0,0,0,0,10,2009
811,906226100,90,7018,5,5,1979,1979,1535,0,0,1535,2,0,4,2,8,0,0,0,0,0,0,0,0,6,2009
124,534403410,80,14112,5,7,1964,1964,1152,0,0,1152,1,0,3,1,6,1,227,0,0,0,0,0,0,4,2010
1836,533206060,120,3523,8,5,2006,2007,1151,0,0,1151,2,0,2,1,5,0,0,60,0,0,0,0,0,2,2007
779,905200350,80,15312,6,5,1960,1960,1138,0,0,1138,1,0,3,1,6,1,0,0,0,0,140,0,0,3,2009
1886,534276180,20,7450,5,5,1956,1956,1074,0,0,1074,1,0,2,1,6,1,0,72,0,0,0,0,0,1,2007
1724,528186090,120,7313,9,5,2005,2005,1561,0,0,1561,2,0,2,1,6,1,203,47,0,0,0,0,0,8,2007
2450,528358030,60,10019,8,5,1995,1995,1358,1368,0,2726,2,1,4,1,9,1,307,169,168,0,0,0,0,6,2006
1013,527214030,20,15401,9,5,2004,2004,1884,0,0,1884,2,0,2,1,7,1,214,76,0,0,0,0,0,9,2008
2084,905476170,30,9098,4,7,1920,2002,605,0,0,605,1,0,2,1,5,0,0,0,144,0,0,0,0,7,2007
1184,533350120,20,16280,8,9,1976,2007,1671,0,0,1671,3,0,3,1,6,1,280,90,0,0,0,0,0,5,2008
728,902477130,30,9392,3,3,1900,1950,797,0,0,797,1,0,2,1,5,0,0,36,94,0,0,0,0,9,2009
950,914474070,60,12209,6,5,2001,2002,804,1157,0,1961,2,1,3,1,7,1,125,192,0,0,0,0,0,6,2009
2524,534125210,190,13110,5,6,1972,1972,1193,0,0,1193,2,0,2,1,6,0,140,153,0,0,0,0,0,7,2006
2513,533223080,160,2651,7,5,2000,2000,673,709,0,1382,2,1,3,1,6,0,153,50,0,0,0,0,0,4,2006
2028,903427040,50,8520,6,7,1916,1950,1664,862,0,2526,2,0,5,1,10,1,88,15,0,0,0,0,0,8,2007
2309,526303060,20,39384,6,6,1957,1957,1390,0,0,1390,1,1,1,1,4,2,0,189,0,0,0,0,0,10,2006
51,528188120,160,2628,7,5,2003,2003,764,862,0,1626,2,1,2,1,6,0,0,27,0,0,0,0,0,6,2010
699,902106010,70,6406,5,6,1939,1950,868,690,0,1558,1,1,3,1,7,1,0,36,0,0,182,0,0,10,2009
1881,534252110,20,12342,5,5,1960,1978,1422,0,0,1422,1,0,3,1,6,1,0,0,36,0,0,0,600,8,2007
1345,903232090,50,6240,5,7,1930,1992,1128,445,0,1573,2,0,3,1,8,1,0,0,0,0,0,0,0,6,2008
166,535457010,20,10000,6,6,1962,1962,1116,0,0,1116,1,1,3,1,5,0,0,0,0,0,385,0,0,2,2010
781,905228050,20,9000,2,2,1947,1950,660,0,0,660,1,0,2,1,5,0,0,0,100,0,0,0,0,6,2009
379,527354200,20,11088,6,5,1978,1998,1707,0,0,1707,2,0,3,1,7,1,0,0,0,0,0,0,0,5,2009
2818,908102320,20,17755,5,4,1959,1959,1466,0,0,1466,1,1,3,1,6,2,0,140,0,0,100,0,0,11,2006
1168,533215020,120,4765,9,5,2000,2000,1638,0,0,1638,2,0,2,1,5,1,230,68,0,0,0,0,0,7,2008
1396,905226110,190,10532,5,3,1960,1960,1721,0,0,1721,2,0,3,1,7,2,50,84,0,0,0,0,0,12,2008
838,907130100,60,15426,6,5,1997,1997,928,836,0,1764,2,1,3,1,7,0,276,99,0,0,0,0,0,8,2009
1492,908127120,30,13907,5,6,1940,1969,996,0,0,996,1,0,3,1,6,1,144,0,0,0,0,0,0,7,2008
637,535178040,20,8750,5,5,1956,1956,1202,0,0,1202,1,0,3,1,6,0,0,35,120,0,0,0,0,11,2009
1826,532377140,20,9945,5,5,1961,1961,988,0,0,988,1,0,3,1,5,0,0,0,0,0,0,0,0,10,2007
173,902106140,30,8960,5,6,1927,1950,1028,0,0,1028,1,0,2,1,5,1,0,0,130,0,0,0,0,3,2010
715,902301080,50,3500,5,7,1947,1950,720,564,0,1284,1,1,2,1,5,0,0,35,0,0,0,0,0,4,2009
1183,533350090,60,24572,9,3,1977,1977,1599,1345,0,2944,2,2,3,1,9,1,140,70,16,0,0,0,0,6,2008
2433,528235130,60,9056,8,5,2004,2004,707,707,0,1414,2,1,3,1,6,1,100,35,0,0,0,0,0,10,2006
2866,909282060,70,12320,7,7,1932,1990,959,650,0,1609,1,1,3,1,8,2,0,0,0,0,104,0,0,5,2006
2311,527105060,60,8238,6,5,1997,1998,813,712,0,1525,2,1,3,1,6,1,421,72,0,0,0,0,0,5,2006
1551,910205010,80,6000,5,5,1967,1967,1092,564,0,1656,1,1,3,1,7,1,0,180,0,0,100,0,0,7,2008
1049,527454120,120,2529,7,6,1977,1977,1055,0,0,1055,2,0,2,1,4,0,0,38,0,0,0,0,0,9,2008
657,535376060,60,10800,5,7,1939,2006,676,676,0,1352,2,0,4,1,7,0,187,0,128,0,0,0,0,8,2009
414,527454130,160,2349,6,5,1977,1977,855,601,0,1456,2,1,3,1,6,1,0,28,0,0,0,0,0,5,2009
1181,533250160,120,10846,8,5,1993,1993,1719,0,0,1719,1,1,1,1,6,2,122,30,0,0,0,0,0,5,2008
1514,909100170,30,5604,5,6,1925,1950,864,0,0,864,1,0,2,1,5,0,0,0,96,0,0,0,0,4,2008
1040,527450110,160,1680,6,5,1973,1973,483,504,0,987,1,1,2,1,5,0,52,0,0,0,0,0,0,2,2008
216,905101100,50,6342,5,8,1875,1996,780,240,0,1020,1,0,2,1,6,0,0,0,176,0,0,0,0,5,2010
1720,528181060,120,4590,8,5,2006,2006,1554,0,0,1554,2,0,2,1,6,1,156,73,0,0,0,0,0,8,2007
2331,527210040,60,18062,10,5,2006,2006,1528,1862,0,3390,3,1,5,1,10,1,204,34,0,0,0,0,0,9,2006
204,903426200,70,12900,6,8,1912,2009,780,780,0,1560,1,1,3,1,7,0,344,0,0,0,168,0,0,5,2010
19,527276150,20,19138,4,5,1951,1951,864,0,0,864,1,0,2,1,4,0,0,0,0,0,0,0,0,6,2010
2438,528275080,60,8658,6,5,2000,2000,1008,881,0,1889,2,1,3,1,9,1,0,0,0,0,0,0,0,4,2006
89,532378110,20,6897,5,8,1962,2010,1040,0,0,1040,1,1,3,1,6,0,0,104,0,0,0,0,0,4,2010
240,905452160,20,9525,5,7,1954,1998,1172,0,0,1172,1,0,3,1,5,0,240,0,0,0,0,0,0,6,2010
105,533238045,20,12853,8,5,2010,2010,1418,0,0,1418,1,1,1,1,6,1,160,192,0,224,0,0,0,4,2010
2020,903233180,50,6240,6,6,1931,1950,959,408,0,1367,1,0,3,1,6,1,0,0,0,0,120,0,0,11,2007
888,908128060,85,7301,7,5,2003,2003,495,1427,0,1922,3,0,4,1,7,1,0,0,177,0,0,0,0,7,2009
1019,527302050,20,12090,6,6,1981,1981,1422,0,0,1422,2,0,3,1,7,1,276,0,0,0,0,0,0,6,2008
2132,907192040,60,8826,7,5,2000,2000,985,857,0,1842,2,1,3,1,7,1,193,96,0,0,0,0,0,7,2007
203,903426180,50,8094,4,5,1915,1950,888,1074,0,1962,1,1,4,1,9,1,160,0,364,0,0,0,0,6,2010
420,527455280,20,10710,5,7,1966,2004,1120,0,0,1120,1,0,3,1,5,1,0,162,0,0,0,0,1200,7,2009
2333,527212030,60,16056,9,5,2005,2006,1992,876,0,2868,3,1,4,1,11,1,214,108,0,0,0,0,0,7,2006
632,535152230,20,8400,6,3,1957,1957,1478,0,0,1478,1,1,3,1,6,2,114,0,0,0,216,0,0,6,2009
2800,907285100,60,11250,7,5,1995,1996,950,1045,0,1995,2,1,4,1,8,1,275,170,0,0,0,0,0,7,2006
1885,534276160,20,7535,5,7,1958,1985,912,0,0,912,1,0,2,1,5,0,12,285,0,0,0,0,480,6,2007
1734,528221050,20,12216,6,5,2005,2005,1326,0,0,1326,2,0,3,1,6,0,120,23,0,0,0,0,2000,6,2007
2327,527182020,120,3701,8,5,1987,1987,1204,0,0,1204,2,0,2,1,5,0,120,70,0,0,0,0,0,8,2006
1282,535476370,60,9760,6,6,1964,1964,798,813,0,1611,1,1,4,1,7,0,328,128,0,0,189,0,0,6,2008
2688,903425340,190,9873,4,5,1970,1970,960,0,0,960,1,0,3,1,6,0,0,288,0,0,0,0,0,5,2006
2581,535180070,20,10011,5,6,1957,1996,1236,0,0,1236,1,0,2,1,6,1,0,0,0,0,0,0,0,5,2006
2067,905226050,30,25339,5,7,1918,2007,1416,0,0,1416,2,0,3,1,7,0,0,0,112,0,0,0,0,8,2007
2115,906403060,60,8883,7,5,1988,1988,946,927,0,1873,2,1,3,1,7,1,108,48,0,0,144,0,0,5,2007
754,903430070,90,3000,5,1,1922,1950,1088,1040,0,2128,2,0,4,2,11,0,0,56,0,0,0,0,0,9,2009
1079,528188150,160,2448,7,5,2003,2004,764,862,0,1626,2,1,2,1,6,0,0,27,0,0,0,0,0,10,2008
2615,535404080,20,7100,5,7,1957,1957,816,0,0,816,1,0,2,1,5,0,0,0,0,0,0,0,0,7,2006
329,923225440,160,2592,5,3,1976,1976,536,576,0,1112,1,1,3,1,4,0,182,0,0,0,0,0,0,4,2010
1320,902401010,50,5700,7,7,1926,1950,572,539,0,1111,1,0,2,1,5,1,0,0,176,0,0,0,0,8,2008
416,527455060,160,2289,6,6,1978,1978,855,586,0,1441,2,1,3,1,7,1,28,0,0,0,0,0,0,4,2009
284,908226130,190,12180,4,4,1941,1950,672,252,0,924,1,0,2,1,5,0,0,0,0,0,0,0,0,7,2010
1385,905108170,85,7400,5,5,1984,1984,1126,0,0,1126,1,0,2,1,5,0,178,0,0,0,0,0,0,3,2008
275,908102110,20,8842,5,6,1954,1954,992,0,0,992,1,0,3,1,6,0,60,0,56,0,0,0,0,1,2010
2024,903401070,50,8850,6,7,1920,1950,752,624,0,1376,1,0,3,1,7,0,0,54,144,0,0,0,0,2,2007
68,528456160,20,9215,7,5,2009,2010,1218,0,0,1218,2,0,2,1,4,0,0,136,0,0,0,0,0,4,2010
1910,534479140,70,9480,5,7,1942,1995,888,756,0,1644,1,1,3,1,7,2,168,0,0,0,0,0,0,6,2007
381,527356040,20,11880,7,5,1978,1978,1601,0,0,1601,2,0,3,1,7,1,0,0,0,0,0,0,0,4,2009
1323,902405070,70,10800,7,7,1890,1999,1313,1182,0,2495,2,0,5,1,10,1,0,299,0,0,0,0,0,12,2008
2432,528235050,60,7861,6,5,2002,2003,807,702,0,1509,2,1,3,1,7,1,100,75,0,0,0,0,0,6,2006
777,905200220,20,11616,5,5,1962,1962,1092,0,0,1092,1,0,3,1,6,1,0,20,144,0,0,0,0,9,2009
1107,528365060,60,10542,7,5,1993,1994,1325,1093,0,2418,2,1,3,1,9,1,250,154,216,0,0,0,0,8,2008
30,527451180,160,1680,6,5,1971,1971,483,504,0,987,1,1,2,1,5,0,275,0,0,0,0,0,0,2,2010
282,908208020,20,8546,4,5,2003,2004,1121,0,0,1121,2,0,2,1,5,0,132,64,0,0,0,0,0,3,2010
188,902402010,20,7407,6,7,1957,1996,1236,0,0,1236,1,0,2,1,6,0,0,158,158,0,0,0,0,4,2010
2356,527376090,20,10140,5,6,1975,1975,1074,0,0,1074,1,1,3,1,6,0,0,88,0,0,0,0,0,7,2006
1554,910251050,20,14584,1,5,1952,1952,733,0,0,733,1,0,2,1,4,0,0,0,0,0,0,0,0,2,2008
1464,907262030,60,8158,7,5,2003,2003,884,884,0,1768,2,1,3,1,8,0,0,63,0,0,0,0,0,7,2008
2469,528488120,20,7500,7,5,2005,2005,1266,0,0,1266,2,0,3,1,6,1,38,144,0,0,0,0,0,4,2006
1834,533130170,50,10678,8,5,1992,2000,2129,743,0,2872,2,1,4,1,9,1,0,33,0,0,0,0,0,4,2007
1779,528429110,20,15256,8,5,2007,2007,1464,0,0,1464,2,0,3,1,6,0,168,160,0,0,0,0,0,8,2007
2569,535125060,60,14200,7,6,1966,1966,1216,941,0,2157,2,1,4,1,8,2,105,66,0,0,0,0,0,5,2006
2334,527212040,60,12438,8,5,2006,2006,1264,1312,0,2576,2,1,4,1,10,1,324,100,0,0,0,0,0,7,2006
2330,527210030,60,16023,9,5,2005,2006,1414,1384,0,2798,3,1,3,1,11,1,182,37,0,0,0,0,0,3,2006
2119,906475170,20,20064,8,6,1976,1976,1743,0,0,1743,0,1,0,1,5,2,646,0,0,0,0,0,0,5,2007
988,924100040,20,9819,6,5,1977,1977,1567,0,0,1567,2,0,2,1,5,2,264,32,0,0,0,0,0,5,2009
382,527359050,20,10400,7,5,1976,1976,1370,0,0,1370,2,0,3,1,6,1,0,0,0,0,0,0,0,6,2009
670,535402330,90,11643,5,5,1969,1969,1338,1296,0,2634,2,2,6,2,12,0,0,0,0,0,0,0,0,8,2009
2760,906392120,20,11645,8,5,2005,2006,1590,0,0,1590,2,1,2,1,6,0,176,80,0,0,0,0,0,8,2006
543,531376090,20,7328,7,5,2008,2009,1450,0,0,1450,2,0,2,1,6,0,0,93,0,0,0,0,0,2,2009
2835,908227010,50,7822,6,3,1915,1950,846,492,0,1338,2,0,3,1,7,0,0,0,208,0,0,0,0,5,2006
1735,528221090,60,9018,7,5,2007,2007,728,728,0,1456,2,1,3,1,8,1,100,24,0,0,0,0,0,7,2007
448,528166060,20,13472,10,5,2003,2003,2392,0,0,2392,2,0,3,1,8,1,248,105,0,0,0,0,0,6,2009
2287,923228200,180,1533,4,5,1970,1970,530,462,0,992,1,0,2,1,4,0,112,97,0,0,0,0,0,7,2007
524,528477050,60,11003,10,5,2008,2008,1026,981,0,2007,2,1,3,1,10,1,168,52,0,0,0,0,0,4,2009
1767,528348030,60,10790,7,5,1998,1998,1108,1277,0,2385,2,1,4,1,8,1,120,38,0,0,0,0,0,5,2007
2206,909254130,75,7128,7,5,1941,1950,918,728,0,1646,2,0,4,1,7,2,0,0,0,0,126,0,0,8,2007
1740,528222080,60,7713,7,5,2007,2007,728,728,0,1456,2,1,3,1,7,0,100,24,0,0,0,0,0,7,2007
199,903232190,50,6240,5,7,1936,1980,548,492,0,1040,1,0,2,1,5,0,306,0,32,0,0,0,0,5,2010
2214,909275310,70,22420,6,6,1918,1950,1370,1254,0,2624,2,1,4,1,10,1,0,0,0,0,0,0,0,11,2007
323,923201020,20,15300,5,5,1965,1977,1264,0,0,1264,1,0,2,1,7,1,0,0,0,0,0,0,0,6,2010
2421,528228325,120,3196,7,5,2003,2004,1557,0,0,1557,2,0,2,1,7,1,143,20,0,0,0,0,0,10,2006
952,914475030,85,9360,6,7,1977,1977,1287,0,0,1287,1,1,2,1,5,2,302,39,0,0,120,0,0,11,2009
24,527402200,20,11241,6,7,1970,1970,1004,0,0,1004,1,0,2,1,5,1,0,0,0,0,0,0,700,3,2010
1139,531376070,20,9260,7,5,2007,2007,1162,0,0,1162,2,0,3,1,6,0,0,32,0,0,0,0,0,3,2008
518,528458020,20,7993,7,5,2008,2009,1436,0,0,1436,2,0,3,1,6,0,0,121,0,0,0,0,0,10,2009
1390,905201020,20,9239,5,8,1963,2003,960,0,0,960,1,0,3,1,6,0,168,0,0,0,0,0,0,5,2008
277,908102170,20,10044,5,6,1968,1968,1196,0,0,1196,1,0,3,1,6,0,257,0,168,0,0,0,0,6,2010
54,528228440,120,3182,8,5,2004,2005,1269,0,0,1269,2,0,2,1,6,1,146,20,0,0,144,0,0,4,2010
649,535353040,20,7626,5,8,1952,2005,1031,0,0,1031,1,0,2,1,5,0,0,0,0,0,0,0,0,3,2009
2600,535377100,50,7008,4,8,1900,1998,448,272,0,720,1,0,1,1,5,0,0,0,70,0,0,0,0,3,2006
