Lot Frontage,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Bsmt Full Bath,Bsmt Half Bath,Garage Yr Blt,Garage Cars,Garage Area
30.0,0.0,437.0,1057.0,0.0,1494.0,1.0,0.0,1995.0,2.0,481.0
60.0,0.0,441.0,0.0,507.0,948.0,0.0,0.0,1952.0,2.0,410.0
79.0,336.0,1288.0,0.0,417.0,1705.0,1.0,0.0,2007.0,3.0,826.0
80.0,82.0,0.0,0.0,160.0,160.0,0.0,0.0,1958.0,1.0,384.0
41.0,0.0,548.0,173.0,36.0,757.0,0.0,0.0,1977.0,1.0,336.0
105.0,480.0,705.0,0.0,1139.0,1844.0,0.0,0.0,1977.0,2.0,546.0
80.0,320.0,916.0,0.0,326.0,1242.0,0.0,0.0,1973.0,2.0,528.0
60.0,0.0,420.0,0.0,570.0,990.0,1.0,0.0,1995.0,1.0,384.0
75.0,0.0,830.0,290.0,136.0,1256.0,1.0,0.0,1965.0,1.0,276.0
107.0,0.0,1386.0,0.0,690.0,2076.0,1.0,0.0,2006.0,3.0,850.0
0.0,104.0,1097.0,0.0,0.0,1097.0,1.0,0.0,1978.0,2.0,602.0
81.0,335.0,0.0,0.0,1050.0,1050.0,0.0,0.0,1954.0,1.0,352.0
70.0,0.0,906.0,0.0,134.0,1040.0,1.0,0.0,1965.0,1.0,384.0
100.0,40.0,210.0,0.0,398.0,608.0,0.0,0.0,1935.0,2.0,786.0
60.0,0.0,408.0,420.0,156.0,984.0,0.0,0.0,1977.0,2.0,660.0
60.0,0.0,0.0,0.0,776.0,776.0,0.0,0.0,1931.0,1.0,270.0
80.0,110.0,354.0,290.0,412.0,1056.0,1.0,0.0,1954.0,1.0,280.0
36.0,106.0,0.0,0.0,764.0,764.0,0.0,0.0,2003.0,2.0,474.0
0.0,513.0,353.0,0.0,403.0,756.0,0.0,0.0,2000.0,2.0,440.0
65.0,0.0,622.0,0.0,500.0,1122.0,1.0,0.0,1981.0,2.0,576.0
80.0,184.0,790.0,469.0,133.0,1392.0,1.0,0.0,1978.0,2.0,564.0
21.0,0.0,176.0,0.0,370.0,546.0,0.0,0.0,0.0,0.0,0.0
75.0,522.0,0.0,0.0,216.0,216.0,0.0,0.0,1951.0,2.0,400.0
80.0,143.0,371.0,0.0,292.0,663.0,0.0,0.0,1969.0,1.0,299.0
24.0,0.0,368.0,42.0,190.0,600.0,1.0,0.0,2004.0,2.0,480.0
82.0,0.0,486.0,0.0,450.0,936.0,0.0,0.0,1954.0,1.0,240.0
68.0,0.0,85.0,955.0,0.0,1040.0,0.0,1.0,1953.0,1.0,293.0
0.0,0.0,138.0,0.0,778.0,916.0,0.0,0.0,1996.0,2.0,386.0
92.0,348.0,524.0,0.0,628.0,1152.0,0.0,0.0,1999.0,3.0,671.0
75.0,0.0,64.0,0.0,1120.0,1184.0,0.0,0.0,2007.0,2.0,550.0
0.0,0.0,1092.0,0.0,328.0,1420.0,1.0,0.0,1977.0,2.0,690.0
81.0,0.0,360.0,0.0,576.0,936.0,0.0,0.0,1920.0,1.0,225.0
70.0,0.0,172.0,483.0,727.0,1382.0,0.0,1.0,1955.0,1.0,350.0
70.0,0.0,206.0,0.0,914.0,1120.0,0.0,0.0,0.0,0.0,0.0
63.0,0.0,246.0,0.0,285.0,531.0,1.0,0.0,1930.0,1.0,216.0
32.0,117.0,0.0,0.0,976.0,976.0,0.0,0.0,2004.0,2.0,380.0
94.0,510.0,0.0,0.0,1802.0,1802.0,0.0,0.0,2006.0,3.0,843.0
43.0,145.0,16.0,0.0,1346.0,1362.0,0.0,0.0,2005.0,2.0,440.0
44.0,96.0,1346.0,0.0,162.0,1508.0,1.0,0.0,2009.0,2.0,572.0
0.0,668.0,700.0,0.0,1140.0,1840.0,1.0,0.0,1996.0,3.0,786.0
79.0,0.0,655.0,0.0,0.0,655.0,0.0,1.0,1954.0,2.0,539.0
24.0,50.0,0.0,0.0,970.0,970.0,0.0,0.0,2004.0,2.0,380.0
73.0,228.0,0.0,0.0,1616.0,1616.0,0.0,0.0,2005.0,3.0,834.0
0.0,0.0,0.0,0.0,768.0,768.0,0.0,0.0,1930.0,2.0,440.0
0.0,65.0,0.0,0.0,872.0,872.0,0.0,0.0,1924.0,1.0,322.0
60.0,0.0,0.0,0.0,520.0,520.0,0.0,0.0,1920.0,1.0,240.0
80.0,361.0,443.0,0.0,662.0,1105.0,0.0,0.0,1960.0,2.0,480.0
50.0,0.0,0.0,0.0,936.0,936.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,168.0,0.0,448.0,616.0,0.0,0.0,1920.0,2.0,480.0
63.0,748.0,1904.0,0.0,312.0,2216.0,1.0,0.0,2009.0,3.0,1166.0
100.0,0.0,0.0,0.0,876.0,876.0,0.0,0.0,1949.0,3.0,720.0
60.0,0.0,240.0,0.0,624.0,864.0,0.0,0.0,1986.0,2.0,576.0
32.0,197.0,864.0,0.0,325.0,1189.0,1.0,0.0,1997.0,2.0,392.0
48.0,572.0,415.0,0.0,1251.0,1666.0,1.0,0.0,2006.0,2.0,575.0
67.0,0.0,833.0,0.0,343.0,1176.0,1.0,0.0,2003.0,2.0,555.0
70.0,0.0,377.0,0.0,551.0,928.0,0.0,0.0,1956.0,1.0,252.0
80.0,128.0,553.0,147.0,588.0,1288.0,0.0,1.0,1969.0,2.0,502.0
30.0,120.0,280.0,0.0,320.0,600.0,0.0,0.0,2004.0,2.0,480.0
0.0,0.0,828.0,0.0,599.0,1427.0,0.0,1.0,1969.0,2.0,516.0
0.0,254.0,762.0,0.0,98.0,860.0,1.0,0.0,1996.0,2.0,608.0
70.0,0.0,36.0,596.0,122.0,754.0,1.0,0.0,1994.0,2.0,495.0
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1979.0,2.0,400.0
0.0,86.0,1014.0,0.0,138.0,1152.0,1.0,0.0,1964.0,2.0,484.0
80.0,30.0,60.0,0.0,1081.0,1141.0,1.0,0.0,2006.0,2.0,484.0
88.0,54.0,588.0,0.0,550.0,1138.0,0.0,1.0,1960.0,2.0,480.0
74.0,0.0,438.0,206.0,250.0,894.0,0.0,0.0,1966.0,2.0,396.0
60.0,246.0,1153.0,0.0,408.0,1561.0,1.0,0.0,2005.0,2.0,556.0
83.0,397.0,527.0,0.0,815.0,1342.0,0.0,0.0,1995.0,3.0,725.0
53.0,296.0,1337.0,0.0,547.0,1884.0,1.0,0.0,2004.0,3.0,670.0
58.0,0.0,348.0,0.0,180.0,528.0,1.0,0.0,0.0,0.0,0.0
103.0,0.0,1044.0,382.0,0.0,1426.0,1.0,0.0,1976.0,2.0,550.0
72.0,0.0,0.0,0.0,245.0,245.0,0.0,0.0,0.0,0.0,0.0
71.0,0.0,690.0,0.0,114.0,804.0,1.0,0.0,2001.0,2.0,560.0
79.0,144.0,962.0,0.0,191.0,1153.0,1.0,0.0,1972.0,2.0,501.0
0.0,0.0,641.0,0.0,32.0,673.0,1.0,0.0,2000.0,2.0,490.0
60.0,0.0,168.0,546.0,0.0,714.0,0.0,0.0,1916.0,1.0,216.0
0.0,902.0,1110.0,0.0,595.0,1705.0,1.0,0.0,1957.0,2.0,550.0
36.0,106.0,0.0,0.0,764.0,764.0,0.0,0.0,2003.0,2.0,474.0
57.0,0.0,421.0,0.0,269.0,690.0,0.0,0.0,1939.0,2.0,400.0
0.0,0.0,0.0,0.0,978.0,978.0,0.0,0.0,1960.0,1.0,286.0
52.0,0.0,0.0,0.0,1078.0,1078.0,0.0,0.0,1930.0,2.0,360.0
87.0,261.0,0.0,0.0,1116.0,1116.0,0.0,0.0,1962.0,2.0,440.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,144.0,832.0,0.0,308.0,1140.0,0.0,0.0,1978.0,2.0,479.0
134.0,132.0,176.0,0.0,1290.0,1466.0,0.0,0.0,1959.0,2.0,528.0
0.0,260.0,1027.0,0.0,587.0,1614.0,1.0,0.0,2000.0,2.0,495.0
0.0,275.0,988.0,0.0,0.0,988.0,1.0,0.0,1960.0,2.0,626.0
65.0,0.0,821.0,0.0,107.0,928.0,1.0,0.0,1997.0,2.0,470.0
63.0,0.0,290.0,0.0,706.0,996.0,1.0,0.0,0.0,0.0,0.0
70.0,0.0,435.0,202.0,565.0,1202.0,0.0,1.0,1956.0,1.0,304.0
0.0,57.0,827.0,0.0,161.0,988.0,1.0,0.0,1963.0,2.0,572.0
56.0,0.0,0.0,0.0,1008.0,1008.0,0.0,0.0,1927.0,2.0,360.0
50.0,0.0,312.0,0.0,408.0,720.0,0.0,0.0,1948.0,1.0,240.0
0.0,1050.0,410.0,0.0,584.0,994.0,0.0,0.0,1977.0,3.0,864.0
74.0,0.0,0.0,0.0,707.0,707.0,0.0,0.0,2004.0,2.0,403.0
70.0,0.0,0.0,0.0,637.0,637.0,0.0,0.0,1963.0,3.0,579.0
60.0,0.0,700.0,0.0,113.0,813.0,1.0,0.0,1997.0,2.0,400.0
75.0,0.0,257.0,0.0,367.0,624.0,0.0,0.0,1967.0,1.0,288.0
24.0,0.0,378.0,0.0,677.0,1055.0,0.0,0.0,1977.0,2.0,440.0
60.0,0.0,0.0,0.0,676.0,676.0,0.0,1.0,1939.0,2.0,720.0
24.0,0.0,389.0,0.0,466.0,855.0,0.0,0.0,1977.0,2.0,440.0
32.0,0.0,1619.0,0.0,100.0,1719.0,2.0,0.0,1993.0,2.0,473.0
67.0,0.0,468.0,0.0,396.0,864.0,1.0,0.0,0.0,0.0,0.0
21.0,359.0,458.0,0.0,25.0,483.0,0.0,1.0,1973.0,1.0,264.0
54.0,0.0,0.0,0.0,780.0,780.0,0.0,0.0,0.0,0.0,0.0
34.0,108.0,24.0,0.0,1530.0,1554.0,0.0,0.0,2006.0,2.0,627.0
60.0,662.0,0.0,0.0,1528.0,1528.0,0.0,0.0,2006.0,3.0,758.0
60.0,0.0,0.0,0.0,780.0,780.0,0.0,0.0,0.0,0.0,0.0
140.0,0.0,120.0,0.0,744.0,864.0,0.0,0.0,1951.0,2.0,400.0
0.0,0.0,732.0,0.0,250.0,982.0,0.0,0.0,2000.0,2.0,431.0
0.0,0.0,659.0,0.0,381.0,1040.0,1.0,0.0,1962.0,1.0,260.0
75.0,0.0,954.0,0.0,218.0,1172.0,1.0,0.0,1954.0,1.0,366.0
57.0,0.0,1032.0,0.0,610.0,1642.0,1.0,0.0,2010.0,3.0,852.0
52.0,0.0,425.0,0.0,459.0,884.0,0.0,0.0,1978.0,1.0,560.0
64.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,2003.0,2.0,672.0
78.0,210.0,588.0,228.0,606.0,1422.0,0.0,0.0,1981.0,2.0,576.0
0.0,144.0,841.0,0.0,144.0,985.0,1.0,0.0,2000.0,2.0,486.0
57.0,0.0,0.0,0.0,888.0,888.0,0.0,0.0,1915.0,2.0,572.0
0.0,165.0,644.0,0.0,220.0,864.0,0.0,1.0,1966.0,2.0,656.0
85.0,208.0,240.0,0.0,1752.0,1992.0,0.0,0.0,2005.0,3.0,716.0
70.0,0.0,189.0,661.0,628.0,1478.0,1.0,0.0,1957.0,2.0,442.0
90.0,0.0,685.0,0.0,245.0,930.0,1.0,0.0,1995.0,2.0,610.0
70.0,0.0,111.0,279.0,522.0,912.0,0.0,1.0,1958.0,1.0,297.0
88.0,0.0,918.0,0.0,408.0,1326.0,1.0,0.0,2005.0,2.0,388.0
30.0,0.0,0.0,0.0,1191.0,1191.0,0.0,0.0,1987.0,2.0,461.0
80.0,360.0,674.0,106.0,0.0,780.0,1.0,0.0,1964.0,2.0,442.0
60.0,160.0,789.0,0.0,171.0,960.0,1.0,0.0,1970.0,2.0,576.0
72.0,64.0,360.0,0.0,710.0,1070.0,0.0,1.0,1957.0,1.0,447.0
0.0,0.0,0.0,0.0,816.0,816.0,0.0,0.0,2007.0,2.0,576.0
0.0,360.0,608.0,321.0,0.0,929.0,1.0,0.0,1988.0,2.0,619.0
50.0,0.0,0.0,0.0,1040.0,1040.0,0.0,0.0,0.0,0.0,0.0
36.0,106.0,573.0,0.0,191.0,764.0,1.0,0.0,2003.0,2.0,474.0
73.0,0.0,708.0,0.0,108.0,816.0,1.0,0.0,1957.0,1.0,308.0
36.0,0.0,129.0,232.0,175.0,536.0,0.0,0.0,1976.0,1.0,336.0
0.0,0.0,0.0,0.0,572.0,572.0,0.0,0.0,1982.0,1.0,288.0
24.0,0.0,311.0,0.0,544.0,855.0,0.0,0.0,1978.0,2.0,440.0
60.0,0.0,348.0,0.0,324.0,672.0,1.0,0.0,1941.0,1.0,280.0
0.0,0.0,104.0,956.0,0.0,1060.0,1.0,0.0,1984.0,2.0,506.0
68.0,0.0,0.0,0.0,381.0,381.0,0.0,0.0,1954.0,1.0,319.0
60.0,0.0,0.0,0.0,768.0,768.0,0.0,0.0,1977.0,2.0,576.0
92.0,0.0,0.0,0.0,1218.0,1218.0,0.0,0.0,2009.0,2.0,676.0
79.0,224.0,386.0,0.0,342.0,728.0,0.0,0.0,1942.0,1.0,312.0
82.0,206.0,704.0,0.0,567.0,1271.0,0.0,0.0,1978.0,2.0,478.0
60.0,0.0,0.0,0.0,1313.0,1313.0,0.0,0.0,1950.0,2.0,342.0
0.0,0.0,457.0,0.0,326.0,783.0,1.0,0.0,2002.0,2.0,393.0
0.0,116.0,170.0,670.0,252.0,1092.0,0.0,1.0,1962.0,1.0,288.0
96.0,651.0,1173.0,0.0,138.0,1311.0,1.0,0.0,1993.0,3.0,983.0
21.0,504.0,156.0,0.0,327.0,483.0,0.0,0.0,1971.0,1.0,264.0
80.0,0.0,0.0,0.0,1121.0,1121.0,0.0,0.0,2003.0,2.0,440.0
90.0,0.0,600.0,0.0,312.0,912.0,1.0,0.0,1957.0,2.0,923.0
78.0,0.0,788.0,0.0,268.0,1056.0,1.0,0.0,1975.0,2.0,495.0
80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1952.0,2.0,487.0
65.0,252.0,550.0,0.0,334.0,884.0,1.0,0.0,2003.0,2.0,543.0
62.0,0.0,0.0,0.0,1257.0,1257.0,0.0,0.0,2005.0,2.0,453.0
85.0,337.0,700.0,0.0,983.0,1683.0,0.0,0.0,1992.0,2.0,541.0
49.0,84.0,929.0,0.0,556.0,1485.0,1.0,0.0,2007.0,3.0,754.0
88.0,309.0,445.0,0.0,479.0,924.0,0.0,0.0,1966.0,2.0,487.0
82.0,466.0,0.0,0.0,1234.0,1234.0,0.0,0.0,2006.0,3.0,666.0
59.0,600.0,1218.0,0.0,180.0,1398.0,1.0,0.0,2005.0,3.0,670.0
155.0,0.0,51.0,915.0,0.0,966.0,2.0,0.0,1976.0,2.0,529.0
0.0,0.0,1567.0,0.0,0.0,1567.0,1.0,0.0,1977.0,2.0,714.0
80.0,189.0,0.0,0.0,1090.0,1090.0,0.0,0.0,1976.0,2.0,479.0
91.0,368.0,500.0,0.0,748.0,1248.0,1.0,1.0,1969.0,4.0,968.0
78.0,198.0,1122.0,0.0,448.0,1570.0,1.0,0.0,2005.0,3.0,754.0
61.0,140.0,0.0,0.0,1450.0,1450.0,0.0,0.0,2008.0,3.0,788.0
72.0,0.0,0.0,0.0,832.0,832.0,0.0,0.0,1974.0,2.0,528.0
65.0,0.0,0.0,0.0,728.0,728.0,0.0,0.0,2007.0,2.0,400.0
103.0,922.0,56.0,0.0,2336.0,2392.0,0.0,0.0,2003.0,3.0,968.0
0.0,0.0,503.0,0.0,27.0,530.0,1.0,0.0,1970.0,1.0,297.0
85.0,160.0,765.0,0.0,252.0,1017.0,1.0,0.0,2008.0,3.0,812.0
83.0,275.0,0.0,0.0,1066.0,1066.0,0.0,0.0,1998.0,3.0,600.0
53.0,0.0,364.0,0.0,554.0,918.0,0.0,0.0,1941.0,1.0,240.0
64.0,16.0,0.0,0.0,728.0,728.0,0.0,0.0,2007.0,2.0,400.0
52.0,0.0,276.0,0.0,252.0,528.0,0.0,0.0,1979.0,2.0,624.0
86.0,0.0,1128.0,0.0,242.0,1370.0,1.0,0.0,1918.0,3.0,864.0
85.0,0.0,42.0,0.0,1026.0,1068.0,1.0,0.0,1965.0,2.0,528.0
0.0,18.0,0.0,0.0,1374.0,1374.0,0.0,0.0,2003.0,2.0,420.0
72.0,0.0,841.0,116.0,0.0,957.0,1.0,0.0,1977.0,2.0,541.0
0.0,180.0,578.0,0.0,426.0,1004.0,1.0,0.0,1970.0,2.0,480.0
81.0,0.0,0.0,0.0,1162.0,1162.0,0.0,0.0,2007.0,2.0,483.0
90.0,0.0,0.0,0.0,1436.0,1436.0,0.0,0.0,2008.0,2.0,529.0
94.0,0.0,634.0,0.0,326.0,960.0,1.0,0.0,1963.0,1.0,300.0
60.0,0.0,1070.0,0.0,126.0,1196.0,1.0,0.0,1968.0,1.0,336.0
43.0,16.0,24.0,0.0,1232.0,1256.0,0.0,0.0,2004.0,2.0,430.0
60.0,0.0,931.0,0.0,100.0,1031.0,1.0,0.0,1952.0,1.0,230.0
60.0,0.0,0.0,0.0,448.0,448.0,0.0,0.0,1900.0,1.0,280.0
128.0,90.0,1024.0,0.0,481.0,1505.0,1.0,0.0,1953.0,2.0,505.0
50.0,0.0,0.0,0.0,920.0,920.0,0.0,0.0,1938.0,1.0,240.0
68.0,0.0,0.0,0.0,750.0,750.0,0.0,0.0,2005.0,2.0,564.0
0.0,0.0,915.0,0.0,135.0,1050.0,1.0,0.0,1961.0,1.0,368.0
68.0,0.0,0.0,0.0,2062.0,2062.0,0.0,0.0,1994.0,2.0,618.0
0.0,0.0,429.0,1080.0,93.0,1602.0,1.0,0.0,1960.0,2.0,564.0
62.0,0.0,0.0,0.0,384.0,384.0,0.0,0.0,1999.0,2.0,400.0
60.0,0.0,836.0,0.0,278.0,1114.0,1.0,0.0,2004.0,2.0,576.0
0.0,425.0,883.0,0.0,341.0,1224.0,1.0,0.0,1999.0,2.0,402.0
77.0,245.0,0.0,0.0,1122.0,1122.0,0.0,0.0,2005.0,3.0,656.0
79.0,0.0,533.0,0.0,195.0,728.0,0.0,0.0,1966.0,2.0,528.0
120.0,234.0,375.0,0.0,366.0,741.0,0.0,0.0,1963.0,2.0,658.0
65.0,766.0,1540.0,0.0,162.0,1702.0,1.0,0.0,2008.0,3.0,1052.0
85.0,219.0,783.0,0.0,678.0,1461.0,1.0,0.0,1988.0,2.0,600.0
60.0,0.0,216.0,0.0,540.0,756.0,1.0,0.0,1998.0,3.0,642.0
42.0,0.0,215.0,80.0,970.0,1265.0,0.0,1.0,1985.0,2.0,528.0
59.0,182.0,655.0,0.0,201.0,856.0,1.0,0.0,2005.0,2.0,400.0
90.0,0.0,0.0,0.0,504.0,504.0,0.0,0.0,0.0,0.0,0.0
0.0,136.0,1386.0,0.0,206.0,1592.0,1.0,0.0,1959.0,2.0,510.0
100.0,576.0,448.0,0.0,448.0,896.0,0.0,0.0,1968.0,1.0,509.0
75.0,260.0,787.0,0.0,305.0,1092.0,1.0,0.0,1964.0,2.0,504.0
81.0,270.0,526.0,0.0,496.0,1022.0,0.0,0.0,1963.0,2.0,451.0
80.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,2002.0,2.0,569.0
89.0,150.0,40.0,0.0,1404.0,1444.0,1.0,0.0,1952.0,1.0,240.0
61.0,256.0,20.0,0.0,1342.0,1362.0,0.0,0.0,2005.0,2.0,460.0
62.0,210.0,902.0,0.0,316.0,1218.0,1.0,0.0,2008.0,2.0,462.0
51.0,0.0,960.0,0.0,164.0,1124.0,1.0,0.0,1923.0,1.0,288.0
69.0,0.0,776.0,0.0,849.0,1625.0,0.0,1.0,1979.0,2.0,576.0
44.0,0.0,495.0,215.0,354.0,1064.0,1.0,0.0,1987.0,2.0,504.0
70.0,176.0,824.0,0.0,226.0,1050.0,1.0,0.0,1954.0,1.0,286.0
77.0,0.0,288.0,0.0,619.0,907.0,0.0,0.0,1964.0,1.0,352.0
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1950.0,1.0,256.0
0.0,466.0,0.0,0.0,1242.0,1242.0,0.0,0.0,1995.0,3.0,751.0
90.0,0.0,1059.0,0.0,150.0,1209.0,1.0,0.0,1966.0,2.0,504.0
50.0,0.0,120.0,0.0,228.0,348.0,0.0,0.0,1937.0,1.0,231.0
0.0,479.0,1358.0,0.0,223.0,1581.0,1.0,0.0,2001.0,2.0,670.0
65.0,0.0,996.0,0.0,340.0,1336.0,1.0,0.0,2005.0,2.0,502.0
63.0,0.0,0.0,0.0,801.0,801.0,0.0,0.0,1958.0,2.0,440.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,647.0,544.0,0.0,438.0,982.0,0.0,0.0,2000.0,2.0,431.0
107.0,0.0,440.0,0.0,538.0,978.0,1.0,0.0,1920.0,2.0,420.0
50.0,0.0,300.0,0.0,480.0,780.0,0.0,0.0,1948.0,1.0,312.0
55.0,0.0,0.0,0.0,728.0,728.0,0.0,0.0,0.0,0.0,0.0
60.0,0.0,0.0,0.0,672.0,672.0,0.0,0.0,1997.0,1.0,308.0
0.0,0.0,785.0,0.0,328.0,1113.0,1.0,0.0,1968.0,1.0,257.0
68.0,115.0,767.0,0.0,144.0,911.0,0.0,0.0,1953.0,1.0,286.0
50.0,0.0,280.0,0.0,140.0,420.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,430.0,0.0,1145.0,1575.0,1.0,0.0,1992.0,2.0,529.0
75.0,0.0,773.0,0.0,286.0,1059.0,1.0,0.0,1966.0,1.0,286.0
62.0,0.0,513.0,144.0,348.0,1005.0,1.0,0.0,1964.0,2.0,440.0
0.0,0.0,738.0,0.0,319.0,1057.0,1.0,0.0,2001.0,2.0,650.0
30.0,0.0,0.0,0.0,600.0,600.0,0.0,0.0,2005.0,2.0,480.0
112.0,221.0,0.0,0.0,1765.0,1765.0,0.0,0.0,2003.0,3.0,795.0
76.0,0.0,207.0,590.0,36.0,833.0,1.0,0.0,1984.0,2.0,495.0
105.0,0.0,0.0,0.0,728.0,728.0,0.0,0.0,2006.0,2.0,429.0
60.0,0.0,398.0,149.0,317.0,864.0,1.0,0.0,1980.0,2.0,720.0
48.0,0.0,0.0,0.0,1362.0,1362.0,0.0,0.0,1979.0,2.0,435.0
125.0,272.0,678.0,281.0,99.0,1058.0,1.0,0.0,1956.0,1.0,300.0
75.0,0.0,475.0,297.0,142.0,914.0,1.0,0.0,0.0,0.0,0.0
43.0,16.0,16.0,0.0,1357.0,1373.0,0.0,0.0,2005.0,2.0,430.0
24.0,0.0,81.0,612.0,23.0,716.0,1.0,0.0,1980.0,2.0,452.0
70.0,0.0,138.0,468.0,276.0,882.0,1.0,0.0,1980.0,2.0,461.0
98.0,0.0,645.0,0.0,270.0,915.0,0.0,0.0,1972.0,2.0,495.0
89.0,714.0,1204.0,0.0,596.0,1800.0,1.0,0.0,2008.0,3.0,944.0
24.0,0.0,514.0,0.0,341.0,855.0,0.0,0.0,1975.0,2.0,440.0
68.0,95.0,0.0,0.0,831.0,831.0,0.0,0.0,2002.0,2.0,493.0
0.0,170.0,0.0,0.0,384.0,384.0,0.0,0.0,1992.0,2.0,392.0
0.0,136.0,299.0,891.0,0.0,1190.0,0.0,0.0,1984.0,2.0,552.0
113.0,246.0,1758.0,0.0,432.0,2190.0,1.0,0.0,2008.0,3.0,780.0
82.0,0.0,55.0,0.0,1527.0,1582.0,1.0,0.0,1991.0,2.0,672.0
65.0,172.0,0.0,0.0,891.0,891.0,0.0,0.0,2005.0,2.0,462.0
78.0,200.0,1309.0,0.0,35.0,1344.0,2.0,0.0,1997.0,4.0,784.0
0.0,0.0,149.0,0.0,1503.0,1652.0,0.0,0.0,1970.0,3.0,928.0
60.0,0.0,0.0,0.0,832.0,832.0,0.0,0.0,1956.0,1.0,263.0
102.0,143.0,0.0,0.0,570.0,570.0,0.0,0.0,1968.0,2.0,487.0
0.0,205.0,662.0,0.0,186.0,848.0,1.0,0.0,2004.0,2.0,420.0
24.0,0.0,435.0,622.0,0.0,1057.0,0.0,1.0,1975.0,2.0,440.0
0.0,0.0,1003.0,0.0,288.0,1291.0,1.0,0.0,1996.0,2.0,431.0
60.0,0.0,0.0,0.0,624.0,624.0,0.0,0.0,2005.0,2.0,484.0
21.0,0.0,462.0,0.0,0.0,462.0,1.0,0.0,1973.0,1.0,297.0
78.0,0.0,312.0,507.0,248.0,1067.0,1.0,0.0,1949.0,1.0,295.0
65.0,0.0,0.0,0.0,864.0,864.0,0.0,0.0,2004.0,2.0,572.0
22.0,0.0,560.0,670.0,0.0,1230.0,1.0,0.0,1995.0,2.0,477.0
