MS Zoning,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating,Heating QC,Central Air,Electrical,Kitchen Qual,Functional,Fireplace Qu,Garage Type,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Pool QC,Fence,Misc Feature,Sale Type
RM,1,NA,0,Lvl,AllPub,Inside,1,BrDale,Norm,Norm,Twnhs,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,3,3,CBlock,3,3,1,5,1,GasA,3,1,SBrkr,3,7,0,Detchd,Unf,3,3,1.0,0,NA,NA,COD
RL,1,NA,1,Lvl,AllPub,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,4,3,PConc,4,3,3,6,1,GasA,5,1,SBrkr,4,7,0,Attchd,RFn,3,3,1.0,0,NA,NA,WD 
RL,1,NA,0,Bnk,AllPub,FR2,1,SawyerW,Feedr,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,None,4,3,PConc,0,0,0,0,0,GasA,5,1,SBrkr,3,4,3,Attchd,Unf,3,3,0.5,0,NA,NA,WD 
FV,1,Pave,0,Lvl,AllPub,Inside,1,Somerst,Norm,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,4,3,PConc,4,3,1,6,1,GasA,5,1,SBrkr,4,7,0,Detchd,Unf,3,3,1.0,0,NA,NA,ConLD
RL,1,NA,0,Lvl,AllPub,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,4,3,PConc,4,3,3,6,1,GasA,5,1,SBrkr,4,7,0,Attchd,RFn,3,3,1.0,0,NA,NA,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,3,3,PConc,5,3,3,1,1,GasA,5,1,SBrkr,4,7,0,Attchd,RFn,3,3,1.0,0,NA,NA,WD 
RM,1,Grvl,0,Lvl,AllPub,Inside,1,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,AsbShng,AsbShng,None,3,3,BrkTil,3,3,1,1,1,GasA,2,0,SBrkr,3,7,0,Detchd,Unf,2,2,1.0,0,NA,NA,COD
RL,1,NA,0,Lvl,AllPub,Corner,1,Sawyer,Feedr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,3,3,PConc,3,3,1,3,1,GasA,3,1,SBrkr,3,7,0,Detchd,Unf,3,3,1.0,0,MnPrv,NA,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,3,3,CBlock,3,3,1,1,1,GasA,5,1,SBrkr,3,7,3,Attchd,RFn,3,3,1.0,0,MnPrv,NA,WD 
FV,1,NA,0,Lvl,AllPub,Inside,1,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,3,3,PConc,4,3,2,6,1,GasA,5,1,SBrkr,4,7,0,Attchd,Unf,3,3,1.0,0,NA,NA,Con
RL,1,NA,0,Lvl,AllPub,Inside,1,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,3,3,CBlock,4,3,1,4,1,GasA,4,1,SBrkr,3,7,1,Attchd,Fin,3,3,1.0,0,NA,NA,WD 
RL,1,NA,1,Lvl,AllPub,Inside,1,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,None,4,3,PConc,4,3,1,6,1,GasA,5,1,SBrkr,5,7,5,Attchd,Fin,3,3,1.0,0,NA,NA,WD 
RL,1,NA,1,Lvl,AllPub,Corner,1,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,CemntBd,CmentBd,None,4,3,PConc,5,3,3,1,1,GasA,5,1,SBrkr,5,7,4,Attchd,Fin,3,3,1.0,0,NA,NA,New
RL,1,NA,1,Lvl,AllPub,Inside,1,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,3,4,PConc,4,3,1,5,1,GasA,5,1,SBrkr,3,7,0,Attchd,Fin,3,3,1.0,0,GdPrv,Shed,WD 
RL,1,NA,0,Bnk,AllPub,Inside,1,Gilbert,Norm,Norm,2fmCon,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,3,3,CBlock,3,3,2,3,1,GasA,3,0,SBrkr,3,7,0,Attchd,Fin,3,3,1.0,0,NA,NA,WD 
RL,1,NA,1,Lvl,AllPub,Corner,1,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,3,3,CBlock,3,3,1,3,1,GasA,5,1,SBrkr,3,7,3,Attchd,RFn,3,3,1.0,0,GdPrv,NA,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,Sawyer,RRAe,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,3,4,CBlock,3,3,1,6,4,GasA,5,1,SBrkr,3,7,4,Detchd,Unf,3,3,1.0,0,MnPrv,NA,WD 
RL,1,Grvl,1,HLS,AllPub,Inside,2,Crawfor,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,WdShing,Wd Shng,None,3,3,CBlock,3,3,1,4,1,GasA,5,1,SBrkr,4,5,4,Detchd,Unf,3,3,1.0,0,NA,NA,WD 
C (all),1,NA,0,Lvl,AllPub,Inside,1,IDOTRR,Feedr,Norm,2fmCon,2Story,Gable,CompShg,VinylSd,VinylSd,None,3,4,CBlock,3,3,1,1,1,GasA,2,0,SBrkr,3,7,0,NA,NA,0,0,0.0,0,NA,NA,WD 
RL,1,NA,0,Lvl,AllPub,Corner,1,NAmes,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,None,3,4,CBlock,3,3,2,1,1,GasA,5,1,SBrkr,3,7,1,Detchd,Unf,3,3,1.0,0,MnPrv,Shed,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,NWAmes,PosN,Norm,1Fam,1Story,Hip,WdShngl,BrkFace,BrkFace,None,4,3,PConc,4,3,1,5,1,GasA,3,1,SBrkr,4,7,4,Attchd,Fin,3,3,1.0,0,MnPrv,NA,WD 
RL,1,NA,1,HLS,AllPub,Corner,2,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,BrkFace,Stucco,None,3,3,PConc,4,3,1,1,1,GasA,2,1,SBrkr,4,7,4,Detchd,Unf,3,3,1.0,0,NA,NA,WD 
RL,1,NA,1,Lvl,AllPub,CulDSac,1,Veenker,Norm,Norm,TwnhsE,1Story,Hip,CompShg,BrkFace,BrkFace,None,4,4,PConc,4,4,3,2,6,GasA,5,1,SBrkr,5,7,4,Attchd,Fin,3,3,1.0,0,NA,NA,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,3,3,CBlock,3,3,1,5,1,GasA,3,1,SBrkr,3,7,0,Detchd,Unf,3,3,0.0,0,NA,NA,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,Stone,4,3,PConc,5,3,4,6,1,GasA,5,1,SBrkr,4,7,4,Attchd,RFn,3,3,1.0,0,NA,NA,WD 
RL,1,NA,1,HLS,AllPub,Inside,2,NAmes,Norm,Norm,1Fam,1Story,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,3,3,CBlock,4,3,4,1,1,GasA,2,1,SBrkr,3,7,4,Basment,RFn,3,3,1.0,0,NA,NA,WD 
RM,1,NA,0,Lvl,AllPub,Inside,1,MeadowV,Norm,Norm,TwnhsE,2Story,Gable,CompShg,CemntBd,CmentBd,None,3,3,PConc,3,3,1,5,3,GasA,5,1,SBrkr,3,7,3,Attchd,RFn,3,3,1.0,0,NA,NA,WD 
RL,1,NA,1,Lvl,AllPub,Inside,1,NWAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Plywood,Plywood,BrkFace,3,3,CBlock,4,3,1,4,1,GasA,5,1,SBrkr,3,7,3,Attchd,RFn,3,3,1.0,0,MnPrv,NA,COD
RL,1,NA,0,Lvl,AllPub,Inside,1,NWAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,3,3,CBlock,3,3,1,5,1,GasA,2,1,SBrkr,3,7,3,Attchd,Unf,3,3,1.0,0,NA,NA,WD 
RL,1,NA,2,Lvl,AllPub,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,3,4,PConc,4,4,1,6,1,GasA,5,1,SBrkr,3,7,0,Detchd,Unf,3,3,1.0,0,NA,NA,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,4,3,CBlock,3,3,1,4,2,GasA,4,1,SBrkr,3,7,0,Attchd,Fin,3,3,1.0,0,NA,NA,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,5,3,PConc,5,4,4,6,1,GasA,5,1,SBrkr,5,7,4,Attchd,Fin,3,3,1.0,0,NA,NA,New
RL,1,NA,1,Lvl,AllPub,Corner,1,Mitchel,Norm,Norm,1Fam,SFoyer,Gable,CompShg,Plywood,Plywood,BrkFace,3,4,PConc,4,3,3,6,1,GasA,5,1,SBrkr,4,7,3,Attchd,Fin,3,3,1.0,0,NA,NA,WD 
RM,1,Grvl,0,Lvl,AllPub,Inside,1,OldTown,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,BrkFace,3,3,BrkTil,3,3,1,1,1,GasA,5,0,FuseF,3,7,0,Attchd,Unf,2,3,1.0,0,NA,NA,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,None,3,3,CBlock,3,3,1,3,1,GasA,5,1,SBrkr,3,7,0,Detchd,Unf,3,3,1.0,0,NA,NA,WD 
RL,1,NA,1,HLS,AllPub,Inside,2,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,BrkFace,Stucco,Stone,3,3,PConc,3,2,1,2,1,GasA,3,1,SBrkr,3,7,4,Detchd,Fin,2,3,1.0,0,NA,NA,WD 
RL,1,Grvl,0,Lvl,AllPub,Inside,1,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,3,3,CBlock,3,3,1,2,4,GasA,5,1,SBrkr,3,5,0,Detchd,Unf,3,3,1.0,0,NA,NA,WD 
RL,1,NA,0,HLS,AllPub,Inside,2,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Stucco,Wd Shng,None,3,2,BrkTil,4,3,1,1,1,GasA,3,1,SBrkr,3,7,4,Attchd,RFn,3,3,0.5,0,MnPrv,NA,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,Stone,3,3,CBlock,3,3,1,3,2,GasA,3,1,SBrkr,3,7,0,Attchd,RFn,3,3,1.0,0,MnPrv,NA,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,NridgHt,Norm,Norm,Twnhs,2Story,Gable,CompShg,VinylSd,Wd Shng,Stone,4,3,PConc,4,3,1,1,1,GasA,5,1,SBrkr,4,7,0,BuiltIn,RFn,3,3,1.0,0,NA,NA,WD 
FV,1,NA,0,Lvl,AllPub,Inside,1,Somerst,Norm,Norm,TwnhsE,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,4,3,PConc,4,3,1,6,1,GasA,5,1,SBrkr,4,7,0,Detchd,Unf,3,3,1.0,0,NA,NA,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,SWISU,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,WdShing,Plywood,None,3,3,BrkTil,3,3,1,4,1,GasA,3,1,SBrkr,4,5,3,Detchd,Unf,3,3,1.0,0,MnPrv,NA,WD 
RL,1,NA,1,Lvl,AllPub,Inside,1,NWAmes,RRAn,Norm,1Fam,2Story,Gable,CompShg,Plywood,Plywood,BrkFace,3,3,CBlock,4,3,1,4,2,GasA,3,1,SBrkr,4,7,3,Attchd,RFn,3,3,1.0,1,MnPrv,TenC,WD 
RM,1,NA,0,Lvl,AllPub,Inside,1,MeadowV,Norm,Norm,Twnhs,2Story,Gable,CompShg,CemntBd,CmentBd,None,3,3,CBlock,3,3,1,6,1,GasA,5,1,SBrkr,3,7,0,NA,NA,0,0,1.0,0,NA,NA,WD 
RL,1,NA,0,Lvl,AllPub,Corner,1,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,3,3,CBlock,3,3,1,1,1,GasA,3,1,SBrkr,4,7,4,Attchd,Unf,3,3,1.0,0,NA,NA,WD 
RL,1,NA,0,Lvl,AllPub,Corner,1,Sawyer,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,Stone,3,3,CBlock,3,3,1,5,1,GasA,3,1,SBrkr,3,7,0,Attchd,Fin,3,3,1.0,0,MnPrv,NA,WD 
FV,1,Pave,0,Lvl,AllPub,Inside,1,Somerst,Norm,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,MetalSd,None,4,3,PConc,4,3,1,6,5,GasA,5,1,SBrkr,4,7,0,Detchd,RFn,3,3,1.0,0,NA,NA,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,3,4,CBlock,3,3,1,4,1,GasA,3,1,FuseA,3,7,0,Attchd,Unf,3,3,1.0,0,MnPrv,NA,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,3,3,CBlock,3,3,1,3,5,GasA,3,1,FuseF,3,7,0,Attchd,Fin,3,3,1.0,0,MnPrv,NA,WD 
RL,1,NA,2,Lvl,AllPub,Corner,1,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,None,3,3,PConc,4,3,1,3,1,GasA,4,1,SBrkr,3,7,3,Attchd,Fin,3,3,1.0,0,NA,NA,WD 
RL,1,NA,1,Lvl,AllPub,CulDSac,1,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,4,3,PConc,4,3,1,6,1,GasA,5,1,SBrkr,4,7,4,Attchd,Fin,3,3,1.0,0,NA,NA,WD 
FV,1,NA,0,Lvl,AllPub,Inside,1,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,CemntBd,CmentBd,None,4,3,PConc,4,3,3,6,1,GasA,5,1,SBrkr,5,7,4,BuiltIn,Fin,3,3,1.0,0,NA,NA,New
RL,1,NA,1,Low,AllPub,Inside,2,ClearCr,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,4,4,CBlock,4,3,4,5,1,GasA,4,1,SBrkr,3,7,3,Attchd,RFn,3,3,1.0,0,NA,NA,WD 
RM,1,NA,0,Lvl,AllPub,Corner,1,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,WdShing,Wd Shng,None,2,2,BrkTil,3,3,1,3,1,GasA,4,0,FuseA,5,7,4,Detchd,Unf,2,2,0.0,0,NA,NA,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,AsbShng,AsbShng,None,3,3,CBlock,3,3,1,3,2,GasA,4,1,FuseA,4,7,0,Attchd,Unf,3,3,1.0,0,GdWo,NA,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,Mitchel,Feedr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,3,3,PConc,4,3,1,5,1,GasA,5,1,SBrkr,3,7,0,NA,NA,0,0,1.0,0,NA,NA,New
RL,1,NA,0,Lvl,AllPub,Inside,1,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,3,3,BrkTil,4,3,1,6,1,GasA,3,1,SBrkr,3,7,4,Detchd,Unf,3,3,1.0,0,MnPrv,NA,WD 
RM,1,NA,0,Lvl,AllPub,Inside,1,Edwards,Norm,Norm,TwnhsE,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,4,3,PConc,4,3,1,1,1,GasA,5,1,SBrkr,4,3,0,Detchd,Unf,3,3,1.0,0,NA,NA,WD 
RL,1,NA,1,HLS,AllPub,Corner,2,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,Stone,5,3,PConc,5,3,4,1,1,GasA,5,1,SBrkr,5,7,4,Attchd,Fin,3,3,1.0,0,NA,NA,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,Blmngtn,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,4,3,PConc,4,3,4,6,1,GasA,5,1,SBrkr,4,7,4,Attchd,Fin,3,3,1.0,0,NA,NA,WD 
RL,1,NA,2,Lvl,AllPub,Inside,1,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,4,3,PConc,4,3,4,6,1,GasA,5,1,SBrkr,4,7,3,Attchd,RFn,3,3,1.0,0,NA,NA,Con
RL,1,NA,2,Lvl,AllPub,Inside,1,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,4,3,PConc,5,3,2,6,1,GasA,5,1,SBrkr,4,7,0,Attchd,Fin,3,3,1.0,0,NA,NA,WD 
RL,1,NA,0,Lvl,AllPub,Corner,1,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,None,3,3,CBlock,3,3,2,5,1,GasA,5,1,SBrkr,3,7,2,BuiltIn,Fin,3,3,1.0,0,NA,NA,WD 
RM,1,NA,0,Lvl,AllPub,Inside,1,Edwards,Norm,Norm,Twnhs,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,4,3,PConc,4,3,1,1,1,GasA,5,1,SBrkr,4,3,0,Detchd,Unf,3,3,1.0,0,NA,NA,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,4,3,PConc,4,3,3,1,1,GasA,5,1,SBrkr,4,7,0,Attchd,RFn,3,3,1.0,0,NA,NA,WD 
RM,0,NA,1,Lvl,AllPub,Inside,1,IDOTRR,RRNe,Norm,1Fam,1Story,Gable,CompShg,Stucco,Wd Shng,None,4,4,BrkTil,3,3,1,1,1,GasA,3,1,SBrkr,3,7,0,Detchd,Unf,3,3,0.0,0,NA,NA,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,Stone,3,3,BrkTil,3,3,1,1,1,GasA,2,0,FuseF,2,4,4,Detchd,Unf,2,2,0.0,0,NA,NA,WD 
RM,1,NA,1,Lvl,AllPub,Inside,1,BrkSide,Feedr,RRNn,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,3,3,BrkTil,3,3,1,1,1,GasA,2,0,SBrkr,2,7,0,Detchd,Unf,2,3,1.0,0,NA,NA,WD 
RL,1,NA,0,Lvl,AllPub,Corner,1,NAmes,Feedr,Norm,Duplex,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,3,3,CBlock,3,3,1,3,1,GasA,3,1,FuseA,3,7,0,Detchd,Unf,3,3,1.0,0,NA,NA,WD 
RM,1,NA,0,Lvl,AllPub,Inside,1,IDOTRR,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,4,4,BrkTil,3,1,1,1,1,GasA,5,1,SBrkr,3,7,0,NA,NA,0,0,0.0,0,NA,NA,WD 
RM,1,Grvl,0,Lvl,AllPub,Inside,1,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,MetalSd,MetalSd,None,3,3,BrkTil,3,3,1,4,1,GasA,5,1,SBrkr,3,7,0,Detchd,Unf,2,2,1.0,0,NA,NA,WD 
RL,1,NA,1,Lvl,AllPub,CulDSac,1,StoneBr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,Stone,5,3,PConc,5,3,1,6,1,GasA,5,1,SBrkr,5,7,4,Attchd,Fin,3,3,1.0,0,NA,NA,New
RM,1,Grvl,1,Lvl,AllPub,Inside,1,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,3,3,BrkTil,3,3,2,1,1,GasA,4,1,SBrkr,3,7,4,Detchd,Unf,3,3,1.0,0,NA,NA,WD 
RL,1,NA,0,Lvl,AllPub,FR2,1,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,3,4,CBlock,3,3,1,5,1,GasA,4,1,SBrkr,3,7,0,Detchd,Unf,3,3,1.0,0,GdWo,NA,WD 
RM,1,NA,0,Lvl,AllPub,FR2,1,Mitchel,Norm,Norm,TwnhsE,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,3,3,PConc,5,3,1,6,1,GasA,5,1,SBrkr,3,7,0,Attchd,RFn,3,3,1.0,0,NA,NA,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,5,3,PConc,5,4,1,6,1,GasA,5,1,SBrkr,4,7,4,Attchd,RFn,3,3,1.0,0,NA,NA,New
RL,1,NA,0,Lvl,AllPub,Inside,1,SawyerW,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,4,3,PConc,4,3,1,6,1,GasA,5,1,SBrkr,4,7,0,Attchd,RFn,3,3,1.0,0,NA,NA,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,3,3,CBlock,4,3,1,3,1,GasA,3,1,SBrkr,3,7,0,Attchd,Unf,3,3,1.0,0,NA,NA,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,NWAmes,Feedr,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,3,3,CBlock,4,3,2,5,3,GasA,3,1,SBrkr,3,7,2,Attchd,RFn,3,3,1.0,0,NA,Shed,WD 
FV,1,Pave,0,Lvl,AllPub,Inside,1,Somerst,Norm,Norm,TwnhsE,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,4,3,PConc,4,3,3,6,1,GasA,5,1,SBrkr,4,7,0,Detchd,RFn,3,3,1.0,0,NA,NA,ConLD
RL,1,NA,1,Lvl,AllPub,Inside,1,NWAmes,Norm,Norm,1Fam,SLvl,Gable,CompShg,MetalSd,MetalSd,None,3,3,CBlock,3,3,3,6,1,GasA,4,1,SBrkr,3,7,0,Attchd,RFn,3,3,1.0,0,NA,NA,WD 
RL,1,NA,3,Lvl,AllPub,Corner,1,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,4,3,PConc,4,3,2,6,1,GasA,5,1,SBrkr,4,5,3,Attchd,RFn,3,3,1.0,0,NA,NA,WD 
RL,1,NA,0,Lvl,AllPub,Inside,1,SawyerW,RRAe,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,4,3,PConc,4,3,1,2,6,GasA,5,1,SBrkr,4,7,0,Attchd,RFn,3,3,1.0,0,NA,NA,WD 
RL,1,NA,0,Bnk,AllPub,Inside,1,SawyerW,Norm,Norm,Duplex,1Story,Gable,CompShg,HdBoard,HdBoard,None,3,3,Slab,0,0,0,0,0,GasA,3,1,SBrkr,3,7,0,Attchd,Unf,3,3,1.0,0,GdPrv,NA,WD 
